player,card_number,set_name,year,sport,team,category,insert_name,is_rookie
Dalton Rushing,103,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Samuel Basallo,104,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,True
Brice Turang,105,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Kyle Freeland,106,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,False
Milwaukee Brewers,107,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Sawyer Gipson-Long,108,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,False
Ben Lively,109,2026 Topps Series 1 Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Evan Carter,110,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,False
Cam Schlittler,111,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,True
Carson Seymour,112,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,True
Toronto Blue Jays,113,2026 Topps Series 1 Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Ryne Nelson,114,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Royce Lewis,115,2026 Topps Series 1 Baseball,2026,Baseball,Minnesota Twins,Base,,False
Yanquiel Fernández,116,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,True
Jesús Luzardo,117,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Freddy Peralta,117,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Logan Webb,117,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,False
Ronald Acuña Jr.,118,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,False
Nick Gonzales,119,2026 Topps Series 1 Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Luinder Avila,120,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,True
Will Vest,121,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,False
Nick Kurtz,122,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,False
Francisco Lindor,123,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,False
Taylor Trammell,124,2026 Topps Series 1 Baseball,2026,Baseball,Houston Astros,Base,,False
Kristian Campbell,125,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Pete Crow-Armstrong,126,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,False
Ke'Bryan Hayes,127,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Félix Bautista,128,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Cole Young,129,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,True
Max Fried,130,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Garrett Crochet,130,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Carlos Rodón,130,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Andrew McCutchen,131,2026 Topps Series 1 Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Brice Matthews,132,2026 Topps Series 1 Baseball,2026,Baseball,Houston Astros,Base,,True
Ben Rice,133,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Joe Rock,134,2026 Topps Series 1 Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Alex Bregman,135,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Ezequiel Tovar,136,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,False
Sean Burke,137,2026 Topps Series 1 Baseball,2026,Baseball,Chicago White Sox,Base,,False
Jac Caglianone,138,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,True
Jo Adell,139,2026 Topps Series 1 Baseball,2026,Baseball,Angels,Base,,False
Cal Raleigh,140,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Trevor Megill,141,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Luke Raley,142,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Zach Maxwell,143,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,True
Javier Báez,144,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,False
Kenedy Corona,145,2026 Topps Series 1 Baseball,2026,Baseball,Houston Astros,Base,,True
Julio Rodríguez,146,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Christian Moore,147,2026 Topps Series 1 Baseball,2026,Baseball,Angels,Base,,True
Jacob Melton,148,2026 Topps Series 1 Baseball,2026,Baseball,Houston Astros,Base,,True
Travis Adams,149,2026 Topps Series 1 Baseball,2026,Baseball,Minnesota Twins,Base,,True
Elly De La Cruz,150,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Nico Hoerner,151,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,False
Freddie Freeman,151,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Trea Turner,151,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
CJ Abrams,152,2026 Topps Series 1 Baseball,2026,Baseball,Washington Nationals,Base,,False
J.T. Ginn,153,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,False
Christian Yelich,154,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Drew Gilbert,155,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,True
Dominic Canzone,156,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Colson Montgomery,157,2026 Topps Series 1 Baseball,2026,Baseball,Chicago White Sox,Base,,True
Daniel Palencia,158,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,False
Ronny Mauricio,159,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,False
Victor Robles,160,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Michael McGreevy,161,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Jorge Soler,162,2026 Topps Series 1 Baseball,2026,Baseball,Angels,Base,,False
Brandyn Garcia,163,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,True
Brenton Doyle,164,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,False
Ian Seymour,165,2026 Topps Series 1 Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Colton Cowser,166,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Wikelman González,167,2026 Topps Series 1 Baseball,2026,Baseball,Chicago White Sox,Base,,True
Julio Rodríguez,168,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Josh Smith,169,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,False
Brady House,170,2026 Topps Series 1 Baseball,2026,Baseball,Washington Nationals,Base,,True
Will Benson,171,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Maximo Acosta,172,2026 Topps Series 1 Baseball,2026,Baseball,Miami Marlins,Base,,True
Yusei Kikuchi,173,2026 Topps Series 1 Baseball,2026,Baseball,Angels,Base,,False
Tyler Stephenson,174,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Eric Lauer,175,2026 Topps Series 1 Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Will Warren,176,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Brayan Bello,177,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Shota Imanaga,178,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,False
Mason Miller,179,2026 Topps Series 1 Baseball,2026,Baseball,San Diego Padres,Base,,False
Willson Contreras,180,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Adam Frazier,181,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Grant Holmes,182,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,False
Josh Lowe,183,2026 Topps Series 1 Baseball,2026,Baseball,Tampa Bay Rays,Base,,False
Carson Whisenhunt,184,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,True
Tomoyuki Sugano,185,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Quinn Priester,186,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Otto Kemp,187,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,True
Bo Naylor,188,2026 Topps Series 1 Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Roman Anthony,189,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,True
Michael Wacha,190,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Mauricio Dubón,191,2026 Topps Series 1 Baseball,2026,Baseball,Houston Astros,Base,,False
William Contreras,192,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Nolan Arenado,193,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Otto Lopez,194,2026 Topps Series 1 Baseball,2026,Baseball,Miami Marlins,Base,,False
Mickey Moniak,195,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,False
Pete Crow-Armstrong,196,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,False
Bryce Harper,197,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Boston Red Sox,198,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Tyler Freeman,199,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,False
Shohei Ohtani,200,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Kyle Teel,201,2026 Topps Series 1 Baseball,2026,Baseball,Chicago White Sox,Base,,True
Isaac Collins,202,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Yoshinobu Yamamoto,203,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Paul Skenes,203,2026 Topps Series 1 Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Cristopher Sánchez,203,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Jacob Wilson,204,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,False
Aaron Judge,204,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Bo Bichette,204,2026 Topps Series 1 Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Bobby Witt Jr.,205,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Jack Perkins,206,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,True
Joey Bart,207,2026 Topps Series 1 Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Jack Leiter,208,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,False
Riley Greene,209,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,False
Jacob Young,210,2026 Topps Series 1 Baseball,2026,Baseball,Washington Nationals,Base,,False
Vinnie Pasquantino,211,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Cal Raleigh,211,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Aaron Judge,211,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Troy Melton,212,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,True
Colby Thomas,213,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,True
Nolan McLean,214,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,True
David Peterson,215,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,False
Gavin Sheets,216,2026 Topps Series 1 Baseball,2026,Baseball,San Diego Padres,Base,,False
Chad Patrick,217,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Andrew Abbott,218,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Rafael Devers,219,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,False
Austin Wells,220,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Victor Scott II,221,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Tommy Edman,222,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Vinnie Pasquantino,223,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Cody Freeman,224,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,True
Max Schuemann,225,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,False
Ben Williamson,226,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Brandon Walter,227,2026 Topps Series 1 Baseball,2026,Baseball,Houston Astros,Base,,False
David Bednar,228,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Jackson Merrill,229,2026 Topps Series 1 Baseball,2026,Baseball,San Diego Padres,Base,,False
Zach Neto,230,2026 Topps Series 1 Baseball,2026,Baseball,Angels,Base,,False
Bryan Abreu,231,2026 Topps Series 1 Baseball,2026,Baseball,Houston Astros,Base,,False
Chad Stevens,232,2026 Topps Series 1 Baseball,2026,Baseball,Angels,Base,,True
Owen Caissie,233,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,True
Carlos Estévez,234,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Logan Gilbert,235,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Jac Caglianone,236,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Jonathan India,237,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Austin Riley,238,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,False
Devin Williams,239,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Jacob Wilson,240,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,False
Addison Barger,241,2026 Topps Series 1 Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Mike Yastrzemski,242,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Didier Fuentes,243,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,True
Angel Martínez,244,2026 Topps Series 1 Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Keibert Ruiz,245,2026 Topps Series 1 Baseball,2026,Baseball,Washington Nationals,Base,,False
Oneil Cruz,246,2026 Topps Series 1 Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Will Banfield,247,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,True
Ryan McMahon,248,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Carlos Cortes,249,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,True
Bryce Harper,250,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Teoscar Hernández,251,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Max Muncy,252,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Lucas Giolito,253,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Gavin Williams,254,2026 Topps Series 1 Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Byron Buxton,255,2026 Topps Series 1 Baseball,2026,Baseball,Minnesota Twins,Base,,False
Los Angeles Dodgers,256,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Geraldo Perdomo,257,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Texas Rangers,258,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,False
Luis Morales,259,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,True
Roman Anthony,260,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Zack Wheeler,261,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Detroit Tigers,262,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,False
