card_number,player,team,set_name,year,sport,category,insert_name,is_rookie,is_auto,is_mem,variations,var_images
51,Sean Manaea,Oakland Athletics,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
52,Archie Bradley,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
53,Andres Gimenez,New York Mets,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
54,Joakim Soria,Oakland Athletics,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
55,Nick Senzel,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
56,Steven Matz,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
57,Will Smith,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
58,Washington Nationals,Washington Nationals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
59,Milwaukee Brewers,Milwaukee Brewers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
60,Yu Darvish,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
61,A Playful Bout of Juniors,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
62,Stephen Vogt,Arizona Diamondbacks,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
63,Ronald Guzman,Texas Rangers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
64,Chris Taylor,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
65,Isaac Paredes,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
66,Ryan Brasier,Boston Red Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
67,Clayton Kershaw,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
68,Charlie Blackmon,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
69,Gio Gonzalez,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
70,Detroit Tigers,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
71,Randy Dobnak,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
72,Shane Bieber,Cleveland Indians,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
73,Colorado Rockies,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
74,Byron Buxton,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
75,Kolten Wong,St. Louis Cardinals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
76,Jon Gray,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
77,Jack Flaherty,St. Louis Cardinals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
78,David Peterson,New York Mets,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
79,Roman Quinn,Philadelphia Phillies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
80,Liam Hendriks,Oakland Athletics,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
81,Brett Gardner,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
82,Michael Lorenzen,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
83,Gavin Lux,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
84,Pete Alonso,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
85,Brusdar Graterol,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
86,Austin Meadows,Tampa Bay Rays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
87,Jorge Alfaro,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
88,Albert Abreu,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
89,Lucas Giolito,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
90,Shane Bieber,Cleveland Indians,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
91,Orlando Arcia,Milwaukee Brewers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
92,Tarik Skubal,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
93,Hunter Harvey,Baltimore Orioles,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
94,Josh Donaldson,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
95,Gerrit Cole,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
96,Brian Goodwin,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
97,Niko Goodrum,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
98,Lourdes Gurriel Jr.,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
99,Aaron Judge,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
100,Christian Yelich,Milwaukee Brewers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
101,Travis d'Arnaud,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
102,Paul DeJong,St. Louis Cardinals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
103,Daniel Johnson,Cleveland Indians,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
104,Kenta Maeda,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
105,Shane Bieber,Cleveland Indians,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
106,Brandon Nimmo,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
107,David Dahl,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
108,DJ LeMahieu,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
109,Jean Segura,Philadelphia Phillies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
110,Ian Happ,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
111,Austin Riley,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
112,Justin Verlander,Houston Astros,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
113,Nate Pearson,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
114,Colin Moran,Pittsburgh Pirates,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
115,Willie Calhoun,Texas Rangers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
116,Nico Hoerner,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
117,Gio Urshela,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
118,Carter Kieboom,Washington Nationals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
119,Dee Strange-Gordon,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
120,Freddie Freeman,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
121,Matthew Boyd,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
122,Nick Heath,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
123,Beau Burrows,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
124,Amir Garrett,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
125,Adalberto Mondesi,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
126,Monte Harrison,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
127,Wilson Ramos,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
128,Dylan Bundy,Angels,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
129,Daniel Murphy,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
130,Josh Bell,Pittsburgh Pirates,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
131,Joey Gallo,Texas Rangers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
132,Marwin Gonzalez,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
133,Mitch Keller,Pittsburgh Pirates,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
134,Jose Urena,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
135,Brandon Woodruff,Milwaukee Brewers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
136,Marco Gonzales,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
137,Trevor Bauer,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
138,Tim Anderson,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
139,Humberto Mejia,Arizona Diamondbacks,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
140,Garrett Richards,San Diego Padres,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
141,Caleb Smith,Arizona Diamondbacks,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
142,Jake Odorizzi,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
143,Ryan Mountcastle,Baltimore Orioles,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
144,Anderson Tejeda,Texas Rangers,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
145,Kodi Whitley,St. Louis Cardinals,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
146,Patrick Corbin,Washington Nationals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
147,Yuli Gurriel,Houston Astros,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
148,Chris Archer,Pittsburgh Pirates,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
149,Mitch Haniger,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
150,Shohei Ohtani,Angels,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
151,Evan White,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
152,Motor City Mashers,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
153,Tyler Stephenson,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
154,Andrew Benintendi,Boston Red Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
155,Seth Lugo,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
156,Minnesota Twins,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
157,Aroldis Chapman,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
158,Buck Farmer,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
159,Postgame Hand Wash,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
160,Brandon Workman,Philadelphia Phillies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
161,Lewis Brinson,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
162,Rhys Hoskins,Philadelphia Phillies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
163,J.D. Davis,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
164,Jesus Aguilar,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
165,Willson Contreras,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
166,Elbows Only,Angels,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
167,James Kaprielian,Oakland Athletics,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
168,Max Stassi,Angels,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
169,Brady Singer,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
170,Jacob deGrom,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
171,Hector Neris,Philadelphia Phillies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
172,Miami Marlins,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
173,Evan Longoria,San Francisco Giants,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
174,Raisel Iglesias,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
175,Brad Hand,Cleveland Indians,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
176,Jake Bauers,Cleveland Indians,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
177,Ryan Castellani,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
178,Albert Pujols,Angels,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
179,Clayton Kershaw,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
180,Jose Abreu,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
181,Miles Mikolas,St. Louis Cardinals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
182,Eduardo Rodriguez,Boston Red Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
183,Cristian Javier,Houston Astros,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
184,Tyler Chatwood,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
185,Amed Rosario,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
186,Luke Voit,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
187,Cristian Pache,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
188,Brandon Drury,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
189,Adam Plutko,Cleveland Indians,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
190,Sonny Gray,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
191,Wilmer Flores,San Francisco Giants,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
192,Manny Machado,San Diego Padres,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
193,Brandon Bielak,Houston Astros,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
194,Atlanta Braves,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
195,Baltimore Orioles,Baltimore Orioles,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
196,Ryan Yarbrough,Tampa Bay Rays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
197,Nick Madrigal,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
198,Corey Seager,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
199,Trevor Williams,Pittsburgh Pirates,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
200,Jacob deGrom,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
201,Los Angeles Dodgers,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
202,Howie Kendrick,Washington Nationals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
203,Trea Turner,Washington Nationals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
204,Kyle Seager,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
205,Luis Patiño,San Diego Padres,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
206,Wade Davis,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
207,Yadier Molina,St. Louis Cardinals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
208,Griffin Canning,Angels,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
209,Mike Foltynewicz,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
210,Get Up!,New York Mets,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
211,Salvador Perez,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
212,Robbie Ray,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
213,JaCoby Jones,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
214,Alex Verdugo,Boston Red Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
215,Justin Dunn,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
216,Adam Frazier,Pittsburgh Pirates,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
217,Jeimer Candelario,Detroit Tigers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
218,Matt Olson,Oakland Athletics,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
219,Nelson Cruz,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
220,Marcell Ozuna,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
221,Chadwick Tromp,San Francisco Giants,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
222,Tampa Bay Rays,Tampa Bay Rays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
223,Luis Robert,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
224,Vladimir Guerrero Jr.,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
225,Juan Soto,Washington Nationals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
226,Rafael Devers,Boston Red Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
227,Mike Yastrzemski,San Francisco Giants,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
228,Blake Taylor,Houston Astros,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
229,Paul Goldschmidt,St. Louis Cardinals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
230,Tony Gonsolin,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
231,Dane Dunning,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
232,Albert Almora Jr.,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
233,Dansby Swanson,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
234,Lorenzo Cain,Milwaukee Brewers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
235,A.J. Pollock,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
236,Ian Kennedy,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
237,Willy Adames,Tampa Bay Rays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
238,Kris Bubic,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
239,Ian Anderson,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
240,Jose Urquidy,Houston Astros,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
241,Anthony Rizzo,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
242,Gleyber Torres,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
243,Santiago Espinal,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
244,Spencer Howard,Philadelphia Phillies,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
245,Aristides Aquino,Cincinnati Reds,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
246,Cavan Biggio,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
247,Mallex Smith,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
248,Francisco Mejia,San Diego Padres,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
249,Trent Grisham,San Diego Padres,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
250,Bryce Harper,Philadelphia Phillies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
251,Pittsburgh Pirates,Pittsburgh Pirates,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
252,Luke Voit,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
253,Carlos Correa,Houston Astros,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
254,Zack Britton,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
255,Austin Hays,Baltimore Orioles,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
256,Keibert Ruiz,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
257,Brendan McKay,Tampa Bay Rays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
258,Walk-Off Apart,San Francisco Giants,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
259,Chris Paddack,San Diego Padres,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
260,Eduardo Escobar,Arizona Diamondbacks,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
261,Blake Snell,Tampa Bay Rays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
262,Mark Canha,Oakland Athletics,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
263,Ronald Acuña Jr.,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
