"name","address","city","state","country","zip","phone","email","facebook_url","instagram_url","website","x_url","discord","ebay_url","tcgplayer_url","types","hours","lat","lng","source","notes"
"Desert City Games","171 Leigh Road","Kamloops","BC","CA","V2B 2L7","+1 250 457 2257","admin@desertcitygames.ca","https://www.facebook.com/DesertCityGames","","https://www.desertcitygamestcg.ca","","","","","TCG","Su-Th 09:00-20:00; Fr-Sa 09:00-22:00; PH 12:00-20:00","50.6855055","-120.3506735","osm","OSM way/125445410"
"The Raving Gamer Bistro","5735 203 Street, Suite 106","Langley City","BC","CA","V3A 8A7","+1-604-510-4414","","","","https://theravinggamer.ca","","","","","Games","Mo 11:00-21:00; We-Th 11:00-21:00; Fr 11:00-23:00; Sa 10:00-23:00; Su 10:00-21:00","49.1064269","-122.6603749","osm","OSM node/10580673940"
"Sports Card Alley","2220 Bowen Road","Nanaimo","BC","CA","","+1-250-758-1484","","","","https://www.nearmetcg.com/stores/sports-card-alley","","","","","Sports","Mo-Su 08:00-20:00","49.1928308","-123.9916674","osm","OSM node/12403374480"
"Quest Central Gaming Lounge","5-2755 Lougheed Highway, Suite 4","Port Coquitlam","BC","CA","V3B 5Y9","+1-604-474-1799","questcentralgaming@gmail.com","https://www.facebook.com/profile.php","https://www.instagram.com/questcentralgaming","https://www.questcentral.ca","","","","","Games","Mo-Su 10:00-22:00","49.2743796","-122.7900303","osm","OSM node/9903193553"
"Brick Road Collectibles","4911 Main Street","Rocky Mountain House","BC","CA","","+1 403 871 5054","","","","https://brickroad.ca/","","","","","Collectibles","","52.3732986","-114.9190055","osm","OSM node/8975944681"
"Rock City Comics","4918 Main Street","Rocky Mountain House","BC","CA","T4T 2A2","+1 403 846 1337","rockcitycomics97@gmail.com","https://www.facebook.com/pg","","https://rock-city-comics.myshopify.com/","","","","","Comics","","52.3734314","-114.9196108","osm","OSM node/9038753795"
"Sanctuary Games","290 Alexander Street Northeast","Salmon Arm","BC","CA","","+12508335223","info@sanctuarygames.ca; mj@sanctuarygames.ca","","","https://www.sanctuarygames.ca/","","","","","Games","","50.7016828","-119.281949","osm","OSM node/11191942615"
"Games on the Drive","2946 Commercial Drive","Vancouver","BC","CA","V5N4C9","+1-604-336-5535","","","","http://gamesonthedrive.com/","","","","","Games","Mo-Fr 12:00-19:00, Sa 12:00-18:00, Su 12:00-17:00","49.2581544","-123.069613","osm","OSM node/6444475025"
"Golden Age Collectables","852 Granville Street","Vancouver","BC","CA","V6Z","+1-604-683-2819","","https://www.facebook.com/gacvan","https://www.instagram.com/gacvan","http://gacvan.com/","","","","","Comics","Su-We 12:00-17:00; Th-Sa 11:00-18:00","49.2806632","-123.120652","osm","OSM node/6689550167"
"The Connection Games and Comics","2945 Renfrew Street","Vancouver","BC","CA","V5M 3K5","+1-604-327-4585","info@theconnectiongames.com","https://www.facebook.com/theConnectionGames","","https://www.theconnectiongames.com/","","","","","Comics","Mo-Fr 12:00-22:00; Sa,Su 12:00-18:00","49.2577217","-123.0446398","osm","OSM node/3518530540"
"Vesperia Manga & Comics","1935 West Broadway","Vancouver","BC","CA","","(236) 484-3597","abuse@company.site","","","https://vesperiacomics.com/","","","","","Comics","","","","ddg_canada",""
"Wally's Pro Sports Cards & Novelties","2646 East Hastings Street","Vancouver","BC","CA","","+1-604-255-8955","wallysprosportscards@gmail.com","https://www.facebook.com/Wallys-Pro-Sports-Cards-104020739064741","https://www.instagram.com/wallys_cards","https://www.wallyscards.ca/","","","","","Sports","Mo-Sa 12:00-19:00; Su 12:00-18:00","49.2809983","-123.050716","osm","OSM node/3477294757"
"I Want That Stuff","960 queens Avenue","Brandon","MB","CA","","(204) 729-9388","iwtsbrandon@gmail.com","https://www.facebook.com/iwantthatstuffbdn","","https://www.facebook.com/iwantthatstuffbdn/","","","","","Cards","","","","ddg_canada",""
"THREE STARS SPORTSCARDS (LITTLE CANADA)","2682 RICE ST.","LITTLE CANADA","MN","CA","55113","(651) 633-6041","orders@threestarssportscards.com","","","www.threestarssportscards.com","","","","","Sports,TCG","","","","directory_list",""
"Battleground Games","605 Prospect Street","Fredericton","NB","CA","","506-451-0498","contact@battlegroundgames.ca","https://www.facebook.com/profile.php","https://www.instagram.com/battlegroundsfredericton","https://www.battlegroundgames.ca/","","","","","Games","","","","ddg_canada",""
"GameZilla Fredericton","1211 Prospect Street; call (506) 450-9028","Fredericton","NB","CA","","(506) 450-9028","fredericton@gamezilla.ca","https://www.facebook.com/GameZillaFredericton","","https://www.facebook.com/GameZillaFredericton/","","","","","Games","","","","ddg_canada",""
"D&M Sports","34 PLAZA BLVD MONCTON","Halifax","NB","CA","","(506) 852-3244","info@eastcoasttradingcards.com","https://facebook.com/dandmsports","https://instagram.com/dm.sports","https://www.dmsportscards.com/","","","","","Sports","","","","ddg_targeted",""
"Moncton Sports Cards Moncton, 5068556661, Miscellaneous ...","1230 shediac Road","Moncton","NB","CA","","(506) 855-6661","","https://www.facebook.com/CanadaPages","","https://www.canadapages.com/moncton-sports-cards-moncton-nb-5068556661/","","","","","Sports,TCG","","","","ddg_canada",""
"Trading Card Warehouse Inc.","102 St. George St","Moncton","NB","CA","","506-889-7452","","https://www.facebook.com/profile.php","https://www.instagram.com/fabtcg","https://legacy.fabtcg.com/en/locator/trading-card-warehouse-inc/","","","","","TCG","","","","ddg_canada",""
"Heroes' Beacon Comics & Games","25 Charlotte Street","Saint John","NB","CA","","506-214-5755","heroes@heroesbeacon.com","https://www.facebook.com/HeroesBeacon","https://www.instagram.com/heroesbeaconsj","https://heroesbeacon.com/","","","","","Comics,Games","","","","ddg_canada",""
"Giant Robot Comics","114 Woodlawn Road","Dartmouth","NS","CA","B2W 2S7","+1 902-404-8400","shop@giantrobotcomics.com; submissions@giantrobotcomics.com","https://www.facebook.com/GiantRobotComics","https://www.instagram.com/truegrc","http://www.giantrobotcomics.com/","","","","","Comics","","44.6730855","-63.5314563","osm","OSM node/4948026144"
"Doug Laurie Sports","320 Bayfield St","Barrie","ON","CA","","(705) 503-2800","","","","https://douglauriesports.com/","","","","","Sports","","","","ddg_canada",""
"JJ Sports and Collectibles","68 Talbot Street West","Blenheim","ON","CA","N0P 1A0","+1 519 676 5195","jjsports.blenheim@gmail.com","https://facebook.com/jjsports","https://instagram.com/jjsports_blenheim","https://jjsportsandcollectibles.ca/","","","","","Sports","","42.3337634","-81.9986267","osm","OSM way/1126605048"
"Cardboard Memories","230 Sandalwood Parkway East, Suite 2","Brampton","ON","CA","","+1 905-846-1058","info@cardboardmemories.ca","https://www.facebook.com/UpperDeck","https://www.instagram.com/cardboardmemories.ca","https://www.cardboardmemories.ca/","","","","","Games","Mo-Fr 11:00-20:30, Sa 10:00-20:00, Su 11:00-18:00","43.7305188","-79.7902467","osm","OSM node/1918750482"
"Store Locations:","39 Orfus Road","Brampton","ON","CA","","416-351-7065","support@gameshack.ca","","","https://www.gameshack.ca/pages/store-locations","","","","","Cards","","","","ddg_canada",""
"We Got Games","499 Main Street S","Brampton","ON","CA","","(905) 459-1337","","","","https://www.shopping-canada.com/shopping-malls-centers/ontario/brampton/shoppers-world-brampton/we-got-games","","","","","Games","","","","ddg_canada",""
"Blue Ox Games, LLC","2713 East 10th St","Greenville","ON","CA","","(252) 695-6442","","https://www.facebook.com/blueoxgames","https://www.instagram.com/greatergreenvillechamber","https://business.greenvillenc.org/list/member/blue-ox-games-llc-9363","","","","","Games","","","","ddg_pass2",""
"Burdin's Comics Hamilton ON","665 Barton Street EastHamiltonONL8L 3A3CanadaPhone: 905-312-6642","Hamilton","ON","CA","","905-312-6642","roman.goro@gmail.com","","","https://comicbookstores.ca/comic-shop/canada/on/hamilton/burdins-comics-hamilton-on/","","","","","Comics","","","","ddg_canada",""
"Dragonheart Dice","809 Victoria Street North, Suite 6A","Kitchener","ON","CA","N2B 3C3","+1-519-571-9888","","","","https://www.dragonheartdice.ca/","","","","","Games","Tu-Th 12:00-19:00; Fr-Sa 11:00-20:00; Su 12:00-17:00","43.4619735","-80.4685038","osm","OSM node/12692051116"
"Phoenix Games & Hobbies","501 Krug Street, Suite 126","Kitchener","ON","CA","N2B 1L3","+1-519-576-3896","","","","http://www.phoenixgames.ca","","","","","Games","","43.4566268","-80.4606291","osm","OSM node/12459756063"
"PLAYERS CARDS AND COLLECTIBLES","639 SOUTHDALE RD E","London","ON","CA","","519-601-7529","tilt.js@1.2.1","https://www.facebook.com/playerscards","https://www.instagram.com/playerscandc","https://playerscandc.com/","","","","","TCG,Collectibles","","","","ddg_canada",""
"The Game Chamber","525 First Street, Suite 7","London","ON","CA","N5V 1Z5","+1-519-601-4263","info@thegamechamber.com","https://www.facebook.com/channelfireball","https://www.instagram.com/thegamechamber","https://thegamechamber.com","","","","","Games","","43.00345","-81.1966741","osm","OSM node/13608405119"
"Upper OakvilleCardShop- GreetingCardsinMississauga, Ontario...","1011 Upper Middle Rd E","Mississauga","ON","CA","","(905) 849-1028","","","","https://mississauga.canadianorglist.com/company/upper-oakville-card-shop/","","","","","TCG","","","","ddg_canada",""
"Les Comics à Roch","637 Rue Labelle","Mont-Tremblant","ON","CA","J8E 3H2","+1-819-701-2361","roch_bertrand@hotmail.com","https://www.facebook.com/Les-Comics-%C3%A0-Roch-109670684199255","","https://www.lescomicsaroch.com/","","","","","Comics,Hobby","Mo-Tu Pff; We 10:00-17:00; Th-Fr 10:00-21:00; Sa-Su","46.123163","-74.5920143","osm","OSM node/13135179973"
"The Comic Doctor","1050 Simcoe St N","Oshawa","ON","CA","","(905) 576-5711","","","","https://www.shopping-canada.com/shopping-malls-centers/ontario/oshawa/plaza-ten-fifty/the-comic-doctor","","","","","Comics","","","","ddg_canada",""
"Great Hobbies","540 West Hunt Club Road, Suite C","Ottawa","ON","CA","K2G 7B5","+1 613-244-2701","36dcb9766a1f4c478ab908276a19c1af@sentry.ghcyberhost.com","http://www.facebook.com/GreatHobbies","","https://www.greathobbies.com","","","","","Hobby","Mo-We 10:00-18:00; Th 10:00-20:00; Fr 10:00-18:00; Sa 10:00-17:00; Su 11:00-17:00","45.3330376","-75.7266412","osm","OSM way/583580931"
"Paris Junction Hobbies","300 Grand River Street North","Paris","ON","CA","N3L3R7","+1 519-443-5800","","","","https://www.parisjunctionhobbies.com","","","","","Hobby","Mo-Th,Sa 10:00-17:00; Fr 10:00-19:00","43.2105552","-80.3898471","osm","OSM node/8835959078"
"Where Is Rainbow on Markham Located","490 2 Ave S #112Saskatoon","Saskatoon","ON","CA","","306-535-5483","nyoangelolomgmt@gmail.com","https://www.facebook.com/tiktok","https://www.instagram.com/tiktok","https://www.tiktok.com/discover/where-is-rainbow-on-markham-located","","","","","Cards","","","","ddg_canada",""
"The Wool & Silk Co.","138 Main Street","Shelburne","ON","CA","L9V 3K9","+1-519-925-6194","","","","http://www.woolandsilkco.com/","","","","","Hobby","","44.0781864","-80.2059082","osm","OSM node/3430250368"
"Mecha Games","370 Ontario Street","St Catharines","ON","CA","","2896806357","niagara@dollys.ca","https://www.facebook.com/dollysniagara","","https://www.facebook.com/dollysniagara/","","","","","TCG,Collectibles","","","","ddg_canada",""
"The Canadian Comic Bin","7278 Main Street East","Stayner","ON","CA","","+1-705-351-0422","","","","https://www.thecanadiancomicbin.com","","","","","Comics","","44.4200056","-80.0890526","osm","OSM node/11866296207"
"Great Canadian Games & Hobbies","1410 Lasalle Blvd","Sudbury","ON","CA","","705-566-5093","info@gcgameshobbies.com","https://www.facebook.com/GreatCanadianGames","https://www.instagram.com/fabtcg","https://legacy.fabtcg.com/en/locator/great-canadian-games-hobbies/","","","","","Games","","","","ddg_canada",""
"Store Locations","6262 1090 Don Mills Rd","Vaughan","ON","CA","","(416) 787-6262","","","https://www.instagram.com/conspiracycomics","https://conspiracycomics.com/pages/store-locations","","","","","Cards","","","","ddg_canada",""
"Main Phase","441 James Street","Wallaceburg","ON","CA","N8A 2N8","+1-519-437-1737","bobatron6000@gmail.com; john@mainphase.org","https://facebook.com/mainphase","https://www.instagram.com/main_phase","https://www.mainphase.org/","","","","","Games","","42.5940287","-82.3839942","osm","OSM node/7018106956"
"Helou’s Sports Card and Collectibles - Downtown Windsor BIA","488 University Ave WWindsor","Windsor","ON","CA","","519-258-2189","","","","https://www.downtownwindsor.ca/places/helous-sports-card-and-collectibles/","","","","","Sports,TCG,Collectibles","","","","ddg_canada",""
"Lighting Bolt Comics Charlottetown, 9028944000, Book Stores, 99 ...","99 graftonstreet","Charlottetown","PE","CA","","(902) 894-4000","","https://www.facebook.com/CanadaPages","","https://www.canadapages.com/lighting-bolt-comics-charlottetown-pe-9028944000/","","","","","Comics","","","","ddg_canada",""
"Collect-Edition","21 Boulevard Montcalm Nord","Candiac","QC","CA","J5R3L4","+1 450-659-2424","info@collect-edition.com","https://www.facebook.com/groups","","https://www.collect-edition.com/fr/","","","","","Pokemon","Tu-Fr 11:00-17:00","45.392862","-73.5166353","osm","OSM node/10065267676"
"GameZilla","511 Mountain Road","Moncton","QC","CA","","+15068557101","tilt.js@1.2.1","https://www.facebook.com/GameZillaFredericton","https://www.instagram.com/gamezillaprime","https://gamezilla.ca/","","","","","Games","","46.098097","-64.7966565","osm","OSM way/674018329"
"Boutique Stratégie","3423 Rue Saint-Denis","Montreal","QC","CA","H2X 3L2","+1 514 845 8352","montreal@strategygames.ca; toronto@strategygames.ca","https://www.facebook.com/boutiquestrategie","","http://strategygames.ca/boutique_jeux_strategie.html","","","","","Games","Mo-Th 11:00-18:00; Fr 11:00-18:00; Sa 10:00-18:00; Su 12:00-17:00","45.5173257","-73.5679878","osm","OSM node/10587008056"
"Elsewhere Gaming & Hobbies","8785 Commercial Street","New Minas","QC","CA","B4N 3C4","+1-902-365-6789","","https://www.facebook.com/YellowPagesCa","https://www.instagram.com/yellowpages_ca","https://www.yellowpages.ca/bus/Nova-Scotia/New-Minas/Elsewhere-Gaming-Hobbies/101225670.html","","","","","Hobby","Mo-Fr 10:00-17:00; Sa 10:00-15:00","45.0708425","-64.4720368","osm","OSM way/601778068"
"Valley Hobby & Signs","8759 Commercial Street","New Minas","QC","CA","B4N 3C4","+1-902-365-3304","leaflet@1.7.1","https://www.facebook.com/1706808839538652","","https://www.globuya.com/CA/New-Minas/1706808839538652/Valley-Hobby-&-Signs","","","","","Hobby","Mo-We 10:00-17:00; Th-Fr 10:00-18:00; Sa 10:00-16:00","45.0716951","-64.4732785","osm","OSM way/1459179698"
"Bluenose Collectibles","313 Boulevard Saint-Jean","Pointe-Claire","QC","CA","H9R 3J1","+1-514-695-4313","info@bluenosecollectibles.com","","","http://bluenosecollectibles.com/","","","","","Comics","Mo 12:00-18:00; Tu-Th 10:00-18:00; Fr 10:00-21:00; Sa 09:00-17:00; Su 11:00-17:00","45.4450786","-73.8138874","osm","OSM node/11781680431"
"Zone Hobbies","565 Rue Lanaudière, Suite 5","Repentigny","QC","CA","J6A 7N1","+1 514-267-4848","info@zonehobbies.net","","https://www.instagram.com/zonehobbies","https://www.zonehobbies.net","","","","","Hobby","","45.7517339","-73.4525694","osm","OSM node/7583547174"
"Le Maître des Jeux","433 Boulevard Arthur-Sauvé","Saint-Eustache","QC","CA","J7P 2B3","+1-450-472-2734","information@maitredesjeux.net","https://www.facebook.com/maitredesjeux433","https://www.instagram.com/maitre_des_jeux","https://www.maitredesjeux.net","","","","","Games","","45.5655959","-73.9054871","osm","OSM node/8726417964"
"Hobby Champion","831 Montée Sainte-Julie, Suite D","Sainte-Julie","QC","CA","J3E1W9","+1 514 966 1600","","","","https://www.hobbychampion.com","","","","","Hobby","Tu 11:00-17:00, We-Fr 11:00-20:00, Sa-Su 10:00-17:00","45.597829","-73.3447255","osm","OSM node/10058633482"
"L'entre-Jeux inc.","1 Rue La Plaza-de-la-Mauricie","Shawinigan","QC","CA","G9N 7C1","+1 819-805-0295","entrepot@lentrejeux.com","","https://www.instagram.com/entrejeux","https://lentrejeux.com","","","","","Games","","46.5628112","-72.7397166","osm","OSM node/11783423865"
"3 Mana inc.","3075 Montée Saint-Hubert","St-Hubert","QC","CA","J3Y 4J2","+1 450 486 1151","tilt.js@1.2.1","https://www.facebook.com/3manainc","","https://3mana.ca/","","","","","Games","Mo-We 12:00-21:00, Th 12:00-18:00, Fr 12:00-21:00, Sa-Su 12:00-17:00","45.5004309","-73.4239303","osm","OSM node/10058698406"
"Nicecar Collection","14 Rue Sainte-Anne Ouest","Yamachiche","QC","CA","G0X 3L0","+1-866-581-5625","info@nicecardiecast.com","https://www.facebook.com/nicecarcollection","","https://www.nicecardiecast.com/","","","","","Hobby","","46.2614616","-72.875209","osm","OSM node/9318266973"
"B J's Collectors Center Regina, 3067578285, Sports Cards & Memorabilia ...","1954 Angus Street","Regina","SK","CA","","(306) 757-8285","","https://www.facebook.com/CanadaPages","","https://www.canadapages.com/b-js-collectors-center-regina-sk-3067578285/","","","","","Sports,TCG,Collectibles","","","","ddg_canada",""
"RAD Cards and Collectibles, A7 3510 8th Street East, Saskatoon, SK","3510 8th Street EastSaskatoonin The Center Mall","Saskatoon","SK","CA","","306-952-4723","leaflet@1.7.1","https://www.facebook.com/110811485280379","","https://www.globuya.com/CA/Saskatoon/110811485280379/RAD-Cards-and-Collectibles","","","","","TCG,Collectibles","","","","ddg_canada",""
"BOSCO'S","2301 SPENARD ROAD","ANCHORAGE","AK","US","99503","(907) 274-4112 | 907-349-3963","info@boscos.com","https://www.facebook.com/BOSCOScomicsCARDSgames","https://www.instagram.com/boscoscomics","www.boscos.com","","","","","Cards","","","","directory_list",""
"DON'S SPORTSCARDS","9900 OLD SEWARD HWY., #8","ANCHORAGE","AK","US","99515","(907) 349-8804","","https://www.facebook.com/Donssports","","https://www.bestprosintown.com/ak/anchorage/dons-sports-cards-/","","","","","Sports,TCG","","","","directory_list",""
"Titan Gaming Cafe","3121 Third Avenue","Whitehorse","AK","US","","+1-867-668-5750","","","","https://www.titangaming.ca/","","","","","Games","Sa 11:00-20:00; Mo-Tu 11:00-20:00; We-Fr 11:00-22:00","60.7202923","-135.054726","osm","OSM node/6522248320"
"Vermont","12 Elliot St Brattleboro","Burlington","AL","US","","802-254-6201","","","","http://www.hobbyshopguideusa.com/vermonthobbyshops.htm","","","","","Cards","","","","ddg_pass2",""
"The Cool Place","7830 Veterans Parkway, Suite E","Columbus","AL","US","31909","+1-706-507-5063","thecoolplacealbany@gmail.com","https://www.facebook.com/TheCoolPlaceAlbany","https://www.instagram.com/the_cool_place_albany","https://thecoolplace.tcgplayerpro.com/","","","","","Hobby","Tu-Th 16:00-21:00, Fr 14:00-23:00, Sa 14:00-22:00, Su 2:00-20:00","32.5608868","-84.9380373","osm","OSM node/10570774128"
"CULLMAN SPORTSCARDS & FUN SHOP","306 US HWY 278 E","CULLMAN","AL","US","35404","(256) 841-5234","jkampis@hotmail.com","https://www.facebook.com/people","","https://www.facebook.com/Cullman-Sportscards-Fun-Shop-105905904908857","","","","","Sports,TCG","","","","directory_list",""
"3D Bros Cards and Collectibles","204 Main Street West","Hartselle","AL","US","35640-2418","+1-256-502-1211","","","","https://3dcardsandcollectibles.com","","","","","Collectibles","Su,We,Th 10:00-19:00; Fr-Sa 10:00-21:00","34.4433707","-86.9349645","osm","OSM node/13596136826"
"Lucky Dice Cafe","7914 Memorial Parkway Southwest, Suite B7","Huntsville","AL","US","35802","+1-256-801-8187","","https://www.facebook.com/hvilleblast","https://instagram.com/hvilleblast","https://hvilleblast.com/new-lucky-dice-cafe-has-closed/","","","","","Games","","34.6611162","-86.5717128","osm","OSM node/11368035177"
"Warhammer","975 Airport Road Southwest, Suite K1","Huntsville","AL","US","35802","+1-256-881-7733","","https://www.facebook.com/WarhammerOfficial","https://www.instagram.com/warhammerofficial","https://www.warhammer.com/en-US/home","","","","","Hobby","","34.6900712","-86.5772533","osm","OSM node/12121527276"
"Tennessee","340 Ivy Rd Oakland","Oak Ridge","AL","US","","865-483-8887","","","","http://hobbyshopguideusa.com/tennesseehobbyshops.htm","","","","","Cards","","","","ddg_pass2",""
"Valhalla Board Game Cafe","2048 Pelham Parkway, Suite 400","Pelham","AL","US","35124","+1 205-547-0677","email: valhallaboardgamecafe@gmail.com; valhallaboardgamecafe@gmail.com; abuse@company.site","http://facebook.com/valhallaboardgamecafe","http://instagram.com/valhallaboardgamecafe","https://valhallaboardgames.com/","","","","","Games","","33.3257014","-86.7947311","osm","OSM node/12297792108"
"BIG HIT SPORTS CARDS","6450 US Hwy 90 Ste H","Spanish Fort","AL","US","36526","(251) 626-5050","","https://www.facebook.com/groups","","www.bighitsportscards.com","","","https://www.ebay.com/str/bighitsportscards","","Sports,TCG","","","","directory_list",""
"Gears Gaming - Bentonville","1400 Southeast Walton Boulevard, Suite 28","Bentonville","AR","US","72712","+1 479-871-6416","fayetteville@geargaming.com","","","https://geargamingstore.com/","","","","","Games","Mo-Su 12:00-20:00","36.3338504","-94.1912222","osm","OSM node/1127411763"
"LEFTY'S SPORTS MEMORABILIA LLC","1859 EL CAMINO REAL","BURLINGAME","AR","US","94010","(650) 697-2274","jim@leftyssportscards.com","https://www.facebook.com/tr","https://www.instagram.com/leftyssports","https://leftyssportscards.com/","","","https://www.ebay.com/str/leftysauctions","","Sports,Collectibles","","","","directory_list",""
"Roll & Play","690 Shelby Trail","Conway","AR","US","72032","+1 501-710-4263","hello@rollandplay.gg","https://www.facebook.com/p","https://www.instagram.com/rollandplay501","https://rollandplay.gg/","","","","https://rollandplay.tcgplayerpro.com","Games","Mo-Su 09:00-22:00","35.0647839","-92.436308","osm","OSM node/12117443178"
"Gear Gaming","3029 North College Avenue","Fayetteville","AR","US","72703","+1 479 276 8110","","","","https://fayetteville.geargaming.com/","","","","","Games","12:00-20:00","36.1078136","-94.1491064","osm","OSM node/9291313034"
"DICK'S SPORTING GOODS","3825 Phoenix Ave","Fort Smith","AR","US","","(479) 646-8900","lodash@4.17.21; in-view@0.6.1","https://www.facebook.com/Loc8NearMe","","https://www.loc8nearme.com/arkansas/fort-smith/dicks-sporting-goods/21886/","","","","","Sports","","","","ddg_targeted",""
"Sharp Gaming","923 Louisville Street","Fort Smith","AR","US","72901","+1 479-242-2594","","","","https://www.sb-gaming.com/","","","","","Games","","35.3432786","-94.4259684","osm","OSM way/1308787646"
"Comic Book Survivors","1026 North James Street","Jacksonville","AR","US","72076","+1 501 490 9628","intl-segmenter@11.7.10; core-js-bundle@3.2.1; focus-within-polyfill@5.0.9","","","https://www.comicbooksurvivors.com/","","","https://www.ebay.com/sch/i.html","","Comics","Su 12:00-18:00; Mo 11:00-18:00; Tu-Th 10:00-19:00; Fr-Sa 10:00-20:00","34.8765911","-92.1186712","osm","OSM way/1360444477"
"Game Goblins","1121 South Bowman Road, Suite C7","Little Rock","AR","US","72211","+1-501-224-4263","info@gamegoblins.com","https://www.facebook.com/tr","https://www.instagram.com/gamegoblins","https://gamegoblins.com/","","","","https://gamegoblins.tcgplayerpro.com","Games","Mo-Sa 11:00-22:00; Su 12:00-19:00","34.7440021","-92.4067355","osm","OSM way/393650296"
"GAMEDAY SPORTS CARDS","14710 CANTRELL RD","LITTLE ROCK","AR","US","72223","(501) 673-3188","","https://www.facebook.com/gamedaylittlerock","https://www.instagram.com/gamedaylr","https://www.gamedaylr.com/","","","","","Sports,TCG,Games","","","","directory_list",""
"Kapow Comics","4047 East Kiehl Avenue","Sherwood","AR","US","72120","+1-501-834-5769","support@evendo.com","https://www.facebook.com/evendo.global","https://www.instagram.com/evendo_events","https://evendo.com/locations/arkansas/sherwood/shop/kapow-comics","","","","","Comics,Hobby","","34.8325963","-92.1873187","osm","OSM node/7731932246"
"Games Explosion","1110 Mathais Drive, Suite A","Springdale","AR","US","72762","+1 479-750-0133","","","","https://www.mtgtop8.com/event?e=64065&f=cEDH","","","","","Games","Mo-We 12:00-22:00; Fr 12:00-24:00; Sa 10:00-24:00; Su 14:00-20:00","36.1769214","-94.1912487","osm","OSM node/11874339448"
"CLEVE'S SPORTS CARDS","1528 W. SUNSET AVE. SUITE J","SPRINGDALE","AR","US","72764","(479) 927-0067","info@clevessportscards.com","https://www.facebook.com/clevessportscards","","www.facebook.com/clevessportscards","","","","","Sports,TCG","","","","directory_list",""
"Meeple City","1801 North Robison Road, Suite 2","Texarkana","AR","US","75501","+1-430-200-4518","","","","https://clov.net/en/us/ar/texarkana/","","","","","Games","Mo-Sa 12:00-22:00; Su 13:00-22:00","33.4348759","-94.0820961","osm","OSM node/12834569184"
