card_number,player_name,team
BMA-JB,Josue Briceño,Detroit Tigers
BMA-JC,Juan Cabada,Chicago Cubs
BMA-JD,Jhoan De La Cruz,San Diego Padres
BMA-JFA,Jonny Farmelo,Seattle Mariners
BMA-JG,Josuar Gonzalez,San Francisco Giants
BMA-JL,Jansel Luis,Arizona Diamondbacks
BMA-JM,Jesus Made,Milwaukee Brewers
BMA-JW,JJ Wetherholt,St. Louis Cardinals
BMA-KA,Kevin Alvarez,Houston Astros
BMA-KC,Kaelen Culpepper,Minnesota Twins
BMA-KG,Kendall George,Los Angeles Dodgers
BMA-KL,Kellon Lindsey,Los Angeles Dodgers
BMA-LA,Liberts Aponte,Cincinnati Reds
BMA-LAD,Luke Adams,Milwaukee Brewers
BMA-LD,Leo De Vries,San Diego Padres
BMA-MC,Maykel Coret,Tampa Bay Rays
BMA-MCO,Mani Cedeno,New York Yankees
BMA-MJ,Mitch Jebb,Pittsburgh Pirates
BMA-PS,Paulino Santana,Texas Rangers
BMA-QM,Quinn Mathews,St. Louis Cardinals
BMA-RR,Ramon Ramirez,Kansas City Royals
BMA-RRO,Rainiel Rodriguez,St. Louis Cardinals
BMA-SK,Seaver King,Washington Nationals
BMA-SM,Shotaro Morii,Athletics
BMA-SR,Stiven Marinez,New York Yankees
BMA-SS,Sammy Stafura,Cincinnati Reds
BMA-TG,Theo Gillen,Tampa Bay Rays
BMA-TH,Tink Hence,St. Louis Cardinals
BMA-TS,Travis Sykora,Washington Nationals
BMA-TW,Tommy White,Athletics
BMA-TW,Thomas White,Miami Marlins
BMA-WD,Wilfri De La Cruz,Chicago Cubs
BMA-WJ,Walker Jenkins,Minnesota Twins
BMA-WJA,Walker Janek,Houston Astros
BMA-YB,Yorger Bautista,Seattle Mariners
BMA-YP,Yairo Padilla,St. Louis Cardinals
BMA-YR,Yophery Rodriguez,Boston Red Sox
BMA-YRO,Yovanny Rodriguez,New York Mets
CRA-CD,Chase Dollander,Colorado Rockies
CRA-CH,Cade Horton,Chicago Cubs
CRA-CME,Chase Meidroth,Chicago White Sox
CRA-CS,Cam Smith,Houston Astros
CRA-CSI,Chandler Simpson,Tampa Bay Rays
CRA-DB,Drake Baldwin,Atlanta Braves
CRA-DR,Dalton Rushing,Los Angeles Dodgers
CRA-EQ,Edgar Quero,Chicago White Sox
CRA-HK,Hyeseong Kim,Los Angeles Dodgers
CRA-JW,James Wood,Washington Nationals
CRA-KC,Kristian Campbell,Boston Red Sox
CRA-KR,Kumar Rocker,Texas Rangers
CRA-LA,Luisangel Acuña,New York Mets
CRA-LJ,Leo Jiménez,Toronto Blue Jays
CRA-MMA,Marcelo Mayer,Boston Red Sox
CRA-MS,Matt Shaw,Chicago Cubs
CRA-NK,Nick Kurtz,Athletics
CRA-RS,Roki Sasaki,Los Angeles Dodgers
CRA-ZV,Zac Veen,Colorado Rockies
