player,card_number,set_name,year,sport,team,category,insert_name,is_rookie
Los Angeles Dodgers,311,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Toronto Blue Jays,312,2026 Topps Heritage Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Los Angeles Dodgers,313,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Miguel Cabrera,333,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
Carlos Beltrán,334,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Derek Jeter,335,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Mike Piazza,336,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,False
Ichiro,337,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Philip Abner,372,2026 Topps Heritage Baseball,2026,Baseball,Arizona Diamondbacks,Base,,True
Eduarniel Núñez,372,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,True
Didier Fuentes,372,2026 Topps Heritage Baseball,2026,Baseball,Atlanta Braves,Base,,True
Jonathan Pintaro,372,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,True
Nathan Church,373,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,True
Troy Johnston,373,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,True
Jacob Melton,373,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,True
Carlos Cortes,373,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,True
Cam Devanney,374,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,True
Chad Stevens,374,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,True
Brice Matthews,374,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,True
Ryan Ritter,374,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,True
Zachary Maxwell,375,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,True
Dylan Smith,375,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,True
Paul Gervase,375,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,True
Jack Perkins,375,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,True
Will Banfield,376,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,True
C.J. Stubbs,376,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,True
Jimmy Crooks,376,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,True
Rafael Flores,376,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,True
Cody Freeman,377,2026 Topps Heritage Baseball,2026,Baseball,Texas Rangers,Base,,True
Otto Kemp,377,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,True
Jeremiah Jackson,377,2026 Topps Heritage Baseball,2026,Baseball,Baltimore Orioles,Base,,True
Bob Seymour,377,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Andry Lara,378,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,True
Wikelman González,378,2026 Topps Heritage Baseball,2026,Baseball,Chicago White Sox,Base,,True
Juan Burgos,378,2026 Topps Heritage Baseball,2026,Baseball,Arizona Diamondbacks,Base,,True
Jacob Palisch,378,2026 Topps Heritage Baseball,2026,Baseball,Chicago White Sox,Base,,True
George Valera,379,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,True
Will Robertson,379,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,True
Colby Thomas,379,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,True
Tristin English,379,2026 Topps Heritage Baseball,2026,Baseball,Arizona Diamondbacks,Base,,True
Dugan Darnell,387,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,True
Nick Raquet,387,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,True
Troy Melton,387,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,True
Jack Little,387,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,True
Justin Dean,388,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,True
Tristan Peters,388,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Kenedy Corona,388,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,True
Drew Gilbert,388,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,True
Alan Rangel,389,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,True
Elvis Alvarado,389,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,True
Carson Seymour,389,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,True
Joe Rock,389,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Denzer Guzman,390,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,True
Maximo Acosta,390,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,True
Alex Freeland,390,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,True
Colson Montgomery,390,2026 Topps Heritage Baseball,2026,Baseball,Chicago White Sox,Base,,True
Taylor Rashi,391,2026 Topps Heritage Baseball,2026,Baseball,Arizona Diamondbacks,Base,,True
Shinnosuke Ogasawara,391,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,True
Luinder Avila,391,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,True
PJ Poulin,391,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,True
Zach Cole,392,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,True
Jakob Marsee,392,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,True
Yanquiel Fernández,392,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,True
Petey Halpin,392,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,True
Mitch Farris,393,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,True
Andrew Alvarez,393,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,True
Joel Peguero,393,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,True
Kyle Backhus,393,2026 Topps Heritage Baseball,2026,Baseball,Arizona Diamondbacks,Base,,True
Jack Winkler,394,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,True
Warming Bernabel,394,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,True
Kyle Karros,394,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,True
César Prieto,394,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,True
Josh Hader,9,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,False
Aaron Judge,10,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Jose Altuve,11,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,False
Mookie Betts,12,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Agustín Ramírez,13,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,False
Jhoan Duran,14,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Jarren Duran,15,2026 Topps Heritage Baseball,2026,Baseball,Boston Red Sox,Base,,False
Kyle Bradish,16,2026 Topps Heritage Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Jacob Wilson,17,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,False
Eury Pérez,18,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,False
Brett Baty,19,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,False
Jonathan Aranda,20,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,False
Ernie Clement,21,2026 Topps Heritage Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Kris Bryant,22,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,False
Garrett Crochet,23,2026 Topps Heritage Baseball,2026,Baseball,Boston Red Sox,Base,,False
Luis Castillo,24,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Yordan Alvarez,25,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,False
Jaden Hill,26,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,False
Casey Schmitt,27,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,False
Nico Hoerner,28,2026 Topps Heritage Baseball,2026,Baseball,Chicago Cubs,Base,,False
Eugenio Suárez,29,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Connor Norby,30,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,False
Andrew Abbott,31,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Andre Granillo,32,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,True
Paul Skenes,33,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Ryan Pepiot,34,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,False
Yoán Moncada,35,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Edwin Díaz,36,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Jorge Soler,37,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Taj Bradley,38,2026 Topps Heritage Baseball,2026,Baseball,Minnesota Twins,Base,,False
Roki Sasaki,39,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Nathan Eovaldi,40,2026 Topps Heritage Baseball,2026,Baseball,Texas Rangers,Base,,False
Spencer Strider,41,2026 Topps Heritage Baseball,2026,Baseball,Atlanta Braves,Base,,False
Jo Adell,42,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Luis García Jr.,43,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,False
Austin Martin,44,2026 Topps Heritage Baseball,2026,Baseball,Minnesota Twins,Base,,False
Michael A. Taylor,45,2026 Topps Heritage Baseball,2026,Baseball,Chicago White Sox,Base,,False
Vladimir Guerrero Jr.,46,2026 Topps Heritage Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Yandy Díaz,47,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,False
Dylan Beavers,48,2026 Topps Heritage Baseball,2026,Baseball,Baltimore Orioles,Base,,True
Coby Mayo,49,2026 Topps Heritage Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Robert Hassell III,50,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,False
Jurickson Profar,51,2026 Topps Heritage Baseball,2026,Baseball,Atlanta Braves,Base,,False
José Ramírez,52,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Hunter Greene,53,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Jeff McNeil,54,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,False
Ronald Acuña Jr.,55,2026 Topps Heritage Baseball,2026,Baseball,Atlanta Braves,Base,,False
José Berríos,56,2026 Topps Heritage Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Patrick Bailey,57,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,False
Chandler Simpson,58,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,False
Harry Ford,59,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,True
Brooks Lee,60,2026 Topps Heritage Baseball,2026,Baseball,Minnesota Twins,Base,,False
Miguel Vargas,61,2026 Topps Heritage Baseball,2026,Baseball,Chicago White Sox,Base,,False
Rafael Devers,62,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,False
Mike Yastrzemski,63,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,False
Mitch Keller,64,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Mason Miller,65,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,False
Darell Hernaiz,66,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,False
Luis Morales,67,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,True
Cade Cavalli,68,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,False
Cam Smith,69,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,False
Elly De La Cruz,70,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,True
Reese Olson,71,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
Bryce Harper,72,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Dillon Dingler,73,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
Tanner Bibee,74,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,True
Dane Myers,75,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,False
Sandy Alcantara,76,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,False
Mark Vientos,77,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,False
Noah Cameron,78,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,False
Carson Whisenhunt,79,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,True
Austin Hays,80,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Alec Bohm,81,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Logan Webb,82,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,False
Bradley Blalock,83,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,False
Maikel Garcia,84,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,False
Royce Lewis,85,2026 Topps Heritage Baseball,2026,Baseball,Minnesota Twins,Base,,False
Roman Anthony,86,2026 Topps Heritage Baseball,2026,Baseball,Boston Red Sox,Base,,True
Slade Cecconi,87,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Owen Caissie,88,2026 Topps Heritage Baseball,2026,Baseball,Chicago Cubs,Base,,True
Ramón Laureano,89,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,False
Mike Tauchman,90,2026 Topps Heritage Baseball,2026,Baseball,Chicago White Sox,Base,,False
Chase Dollander,91,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,False
Kyle Freeland,92,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,False
Teoscar Hernández,93,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Lawrence Butler,94,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,False
Brendan Donovan,95,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Mike Burrows,96,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Dansby Swanson,97,2026 Topps Heritage Baseball,2026,Baseball,Chicago Cubs,Base,,False
Jacob deGrom,98,2026 Topps Heritage Baseball,2026,Baseball,Texas Rangers,Base,,False
Bryan Woo,99,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Noelvi Marte,100,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Tyler Soderstrom,101,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,False
Isaac Collins,102,2026 Topps Heritage Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Brent Rooker,103,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,False
Jasson Domínguez,104,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Max Muncy,105,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,False
Spencer Torkelson,106,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
Javier Báez,107,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
George Springer,108,2026 Topps Heritage Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Caleb Durbin,109,2026 Topps Heritage Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Cristopher Sánchez,110,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Robbie Ray,111,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,False
Jhostynxon Garcia,112,2026 Topps Heritage Baseball,2026,Baseball,Boston Red Sox,Base,,True
Cole Ragans,113,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,False
Matt Chapman,114,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,False
Jack Dreyer,115,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Luke Keaschall,116,2026 Topps Heritage Baseball,2026,Baseball,Minnesota Twins,Base,,False
Nolan Schanuel,117,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Brandon Sproat,118,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,True
Brandon Nimmo,119,2026 Topps Heritage Baseball,2026,Baseball,Texas Rangers,Base,,False
Yu Darvish,120,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,False
Caden Dana,121,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Bo Bichette,122,2026 Topps Heritage Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Luis Gil,123,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Daylen Lile,124,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,False
Ha-Seong Kim,125,2026 Topps Heritage Baseball,2026,Baseball,Atlanta Braves,Base,,False
Brandon Pfaadt,126,2026 Topps Heritage Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Gavin Sheets,127,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,False
Anthony Seigler,128,2026 Topps Heritage Baseball,2026,Baseball,Milwaukee Brewers,Base,,True
Josh Naylor,129,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Max Fried,130,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Ryan Mountcastle,131,2026 Topps Heritage Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Luisangel Acuña,132,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,False
Kyle Manzardo,133,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Braxton Ashcraft,134,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Jorge Polanco,135,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Jac Caglianone,136,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,True
Jonah Tong,137,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,True
Tyler Stephenson,138,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Steven Kwan,139,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Victor Robles,140,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Jared Jones,141,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Cole Young,142,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,True
Manny Machado,143,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,False
Jacob Misiorowski,144,2026 Topps Heritage Baseball,2026,Baseball,Milwaukee Brewers,Base,,True
Hurston Waldrep,145,2026 Topps Heritage Baseball,2026,Baseball,Atlanta Braves,Base,,False
Francisco Lindor,146,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,False
Jordan Beck,147,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,False
Bradgley Rodríguez,148,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,True
Luis Rengifo,149,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Nolan McLean,150,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,True
Ke'Bryan Hayes,151,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Riley Greene,152,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
Brady House,153,2026 Topps Heritage Baseball,2026,Baseball,Washington Nationals,Base,,True
Carlos Correa,154,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,False
Cole Wilcox,155,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,True
Willson Contreras,156,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Kevin Alcántara,157,2026 Topps Heritage Baseball,2026,Baseball,Chicago Cubs,Base,,False
Max Muncy,158,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Kyle Schwarber,159,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Bobby Witt Jr.,160,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,False
Carson Williams,161,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Sonny Gray,162,2026 Topps Heritage Baseball,2026,Baseball,Boston Red Sox,Base,,False
Mike Trout,163,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Jackson Jobe,164,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
Alec Burleson,165,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Luis Robert Jr.,166,2026 Topps Heritage Baseball,2026,Baseball,Chicago White Sox,Base,,False
Yusei Kikuchi,167,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Jesús Luzardo,168,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Edward Cabrera,169,2026 Topps Heritage Baseball,2026,Baseball,Miami Marlins,Base,,False
Hunter Brown,170,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,False
Jung Hoo Lee,171,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,False
Jordan Lawlar,172,2026 Topps Heritage Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Bryan Reynolds,173,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Robert Suarez,174,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,False
Samuel Basallo,175,2026 Topps Heritage Baseball,2026,Baseball,Baltimore Orioles,Base,,True
Jesús Sánchez,176,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,False
Angel Martínez,177,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Emmet Sheehan,178,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Ezequiel Tovar,179,2026 Topps Heritage Baseball,2026,Baseball,Colorado Rockies,Base,,False
Adley Rutschman,180,2026 Topps Heritage Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Ian Seymour,181,2026 Topps Heritage Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Kyle Teel,182,2026 Topps Heritage Baseball,2026,Baseball,Chicago White Sox,Base,,True
Trea Turner,183,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Jordan Westburg,184,2026 Topps Heritage Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Ronel Blanco,185,2026 Topps Heritage Baseball,2026,Baseball,Houston Astros,Base,,False
Zack Gelof,186,2026 Topps Heritage Baseball,2026,Baseball,Athletics,Base,,False
Kyle Tucker,187,2026 Topps Heritage Baseball,2026,Baseball,Chicago Cubs,Base,,False
Zach Neto,188,2026 Topps Heritage Baseball,2026,Baseball,Angels,Base,,False
Ben Rice,189,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Clayton Kershaw,190,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Josh Jung,191,2026 Topps Heritage Baseball,2026,Baseball,Texas Rangers,Base,,False
Seth Lugo,192,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,False
Matt Strahm,193,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Matt Olson,194,2026 Topps Heritage Baseball,2026,Baseball,Atlanta Braves,Base,,False
Sal Frelick,195,2026 Topps Heritage Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Jazz Chisholm Jr.,196,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Jhonkensy Noel,197,2026 Topps Heritage Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Lars Nootbaar,198,2026 Topps Heritage Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Carter Jensen,199,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,True
Simeon Woods Richardson,200,2026 Topps Heritage Baseball,2026,Baseball,Minnesota Twins,Base,,False
