card_number,player,team,category,insert_name,is_rookie
55,Roschon Johnson,Chicago Bears,Base,,false
56,Montez Sweat,Chicago Bears,Base,,false
57,Jaylon Johnson,Chicago Bears,Base,,false
58,Ja'Marr Chase,Cincinnati Bengals,Base,,false
59,Tee Higgins,Cincinnati Bengals,Base,,false
60,Andrei Iosivas,Cincinnati Bengals,Base,,false
61,Joe Burrow,Cincinnati Bengals,Base,,false
62,Chase Brown,Cincinnati Bengals,Base,,false
63,Jake Browning,Cincinnati Bengals,Base,,false
64,Evan McPherson,Cincinnati Bengals,Base,,false
65,Trey Hendrickson,Cincinnati Bengals,Base,,false
66,Grant Delpit,Cleveland Browns,Base,,false
67,Cedric Tillman,Cleveland Browns,Base,,false
68,Jerry Jeudy,Cleveland Browns,Base,,false
69,David Njoku,Cleveland Browns,Base,,false
70,Myles Garrett,Cleveland Browns,Base,,false
71,Jerome Ford,Cleveland Browns,Base,,false
72,Quinnen Williams,Dallas Cowboys,Base,,false
73,Kenny Clark,Dallas Cowboys,Base,,false
74,Denzel Ward,Cleveland Browns,Base,,false
75,Jake Ferguson,Dallas Cowboys,Base,,false
76,CeeDee Lamb,Dallas Cowboys,Base,,false
77,Micah Parsons,Green Bay Packers,Base,,false
78,DeMarvion Overshown,Dallas Cowboys,Base,,false
79,Dak Prescott,Dallas Cowboys,Base,,false
80,George Pickens,Dallas Cowboys,Base,,false
81,Brandon Aubrey,Dallas Cowboys,Base,,false
82,DaRon Bland,Dallas Cowboys,Base,,false
83,Trevon Diggs,Dallas Cowboys,Base,,false
84,KaVontae Turpin,Dallas Cowboys,Base,,false
85,Joe Milton III,Dallas Cowboys,Base,,false
86,Courtland Sutton,Denver Broncos,Base,,false
87,Marvin Mims Jr.,Denver Broncos,Base,,false
88,Bo Nix,Denver Broncos,Base,,false
89,Jarrett Stidham,Denver Broncos,Base,,false
90,Jaleel McLaughlin,Denver Broncos,Base,,false
91,Troy Franklin,Denver Broncos,Base,,false
92,Evan Engram,Denver Broncos,Base,,false
93,Pat Surtain II,Denver Broncos,Base,,false
94,Talanoa Hufanga,Denver Broncos,Base,,false
95,Zach Allen,Denver Broncos,Base,,false
96,Tim Patrick,Jacksonville Jaguars,Base,,false
97,Jameson Williams,Detroit Lions,Base,,false
98,Amon-Ra St. Brown,Detroit Lions,Base,,false
99,Penei Sewell,Detroit Lions,Base,,false
100,Sam LaPorta,Detroit Lions,Base,,false
101,Jahmyr Gibbs,Detroit Lions,Base,,false
102,Jared Goff,Detroit Lions,Base,,false
103,David Montgomery,Detroit Lions,Base,,false
104,Aidan Hutchinson,Detroit Lions,Base,,false
105,Jake Bates,Detroit Lions,Base,,false
106,Romeo Doubs,Green Bay Packers,Base,,false
107,Jayden Reed,Green Bay Packers,Base,,false
108,Tucker Kraft,Green Bay Packers,Base,,false
109,Jordan Love,Green Bay Packers,Base,,false
110,Josh Jacobs,Green Bay Packers,Base,,false
111,Rashan Gary,Green Bay Packers,Base,,false
112,Christian Watson,Green Bay Packers,Base,,false
113,Xavier McKinney,Green Bay Packers,Base,,false
114,MarShawn Lloyd,Green Bay Packers,Base,,false
115,Nico Collins,Houston Texans,Base,,false
116,Derek Stingley Jr.,Houston Texans,Base,,false
117,Christian Kirk,Houston Texans,Base,,false
118,Dalton Schultz,Houston Texans,Base,,false
119,CJ Stroud,Houston Texans,Base,,false
120,Joe Mixon,Houston Texans,Base,,false
121,Will Anderson Jr.,Houston Texans,Base,,false
122,Henry To'oTo'o,Houston Texans,Base,,false
123,Tank Dell,Houston Texans,Base,,false
124,Cam Robinson,Cleveland Browns,Base,,false
125,Alec Pierce,Indianapolis Colts,Base,,false
126,Michael Pittman Jr.,Indianapolis Colts,Base,,false
127,Josh Downs,Indianapolis Colts,Base,,false
128,Laiatu Latu,Indianapolis Colts,Base,,false
129,Charvarius Ward,Indianapolis Colts,Base,,false
130,Jonathan Taylor,Indianapolis Colts,Base,,false
131,Khalil Herbert,New York Jets,Base,,false
132,Daniel Jones,Indianapolis Colts,Base,,false
133,DeForest Buckner,Indianapolis Colts,Base,,false
134,Braden Smith,Indianapolis Colts,Base,,false
135,Brian Thomas Jr.,Jacksonville Jaguars,Base,,false
136,Dyami Brown,Jacksonville Jaguars,Base,,false
137,Brenton Strange,Jacksonville Jaguars,Base,,false
138,Trevor Lawrence,Jacksonville Jaguars,Base,,false
139,Travis Etienne Jr.,Jacksonville Jaguars,Base,,false
140,Maason Smith,Jacksonville Jaguars,Base,,false
141,Travon Walker,Jacksonville Jaguars,Base,,false
142,Gabe Davis,Buffalo Bills,Base,,false
143,Tank Bigsby,Philadelphia Eagles,Base,,false
144,Quenton Nelson,Indianapolis Colts,Base,,false
145,Xavier Worthy,Kansas City Chiefs,Base,,false
146,Hollywood Brown,Kansas City Chiefs,Base,,false
147,Rashee Rice,Kansas City Chiefs,Base,,false
148,Patrick Mahomes II,Kansas City Chiefs,Base,,false
149,Isiah Pacheco,Kansas City Chiefs,Base,,false
150,Travis Kelce,Kansas City Chiefs,Base,,false
151,Harrison Butker,Kansas City Chiefs,Base,,false
152,George Karlaftis,Kansas City Chiefs,Base,,false
153,Chris Jones,Kansas City Chiefs,Base,,false
154,Trent McDuffie,Kansas City Chiefs,Base,,false
155,Keenan Allen,Los Angeles Chargers,Base,,false
156,Ladd McConkey,Los Angeles Chargers,Base,,false
157,Joe Alt,Los Angeles Chargers,Base,,false
158,Justin Herbert,Los Angeles Chargers,Base,,false
159,Quentin Johnston,Los Angeles Chargers,Base,,false
160,Khalil Mack,Los Angeles Chargers,Base,,false
161,Najee Harris,Los Angeles Chargers,Base,,false
162,Cameron Dicker,Los Angeles Chargers,Base,,false
163,Tuli Tuipulotu,Los Angeles Chargers,Base,,false
164,Da'Shawn Hand,Los Angeles Chargers,Base,,false
165,Davante Adams,Los Angeles Rams,Base,,false
166,Puka Nacua,Los Angeles Rams,Base,,false
167,Tutu Atwell,Los Angeles Rams,Base,,false
168,Kyren Williams,Los Angeles Rams,Base,,false
169,Matthew Stafford,Los Angeles Rams,Base,,false
170,Steve Avila,Los Angeles Rams,Base,,false
171,Blake Corum,Los Angeles Rams,Base,,false
172,Tyler Higbee,Los Angeles Rams,Base,,false
173,Jared Verse,Los Angeles Rams,Base,,false
174,Kamren Kinchens,Los Angeles Rams,Base,,false
175,Tre Tucker,Las Vegas Raiders,Base,,false
176,Jakobi Meyers,Jacksonville Jaguars,Base,,false
177,Jackson Powers-Johnson,Las Vegas Raiders,Base,,false
178,Brock Bowers,Las Vegas Raiders,Base,,false
179,Geno Smith,Las Vegas Raiders,Base,,false
180,Maxx Crosby,Las Vegas Raiders,Base,,false
181,Robert Spillane,New England Patriots,Base,,false
182,Raheem Mostert,Las Vegas Raiders,Base,,false
183,Kolton Miller,Las Vegas Raiders,Base,,false
184,Jeremy Chinn,Las Vegas Raiders,Base,,false
185,Tyreek Hill,Miami Dolphins,Base,,false
186,Jaylen Waddle,Miami Dolphins,Base,,false
187,Tua Tagovailoa,Miami Dolphins,Base,,false
188,De'Von Achane,Miami Dolphins,Base,,false
189,Zach Wilson,Miami Dolphins,Base,,false
190,Jaylen Wright,Miami Dolphins,Base,,false
191,Jalen Ramsey,Pittsburgh Steelers,Base,,false
192,Jaelan Phillips,Philadelphia Eagles,Base,,false
193,Darren Waller,Miami Dolphins,Base,,false
194,Ashtyn Davis,Miami Dolphins,Base,,false
195,Justin Jefferson,Minnesota Vikings,Base,,false
196,Brian O'Neill,Minnesota Vikings,Base,,false
197,Jonathan Greenard,Minnesota Vikings,Base,,false
198,Andrew Van Ginkel,Minnesota Vikings,Base,,false
199,J.J. McCarthy,Minnesota Vikings,Base,,false
200,T.J. Hockenson,Minnesota Vikings,Base,,false
201,Aaron Jones Sr.,Minnesota Vikings,Base,,false
202,Jordan Addison,Minnesota Vikings,Base,,false
203,Will Reichard,Minnesota Vikings,Base,,false
204,Harrison Smith,Minnesota Vikings,Base,,false
205,Stefon Diggs,New England Patriots,Base,,false
206,Mack Hollins,New England Patriots,Base,,false
207,Drake Maye,New England Patriots,Base,,false
208,Terry McLaurin,Washington Commanders,Base,,false
209,Hunter Henry,New England Patriots,Base,,false
210,Rhamondre Stevenson,New England Patriots,Base,,false
211,Kyle Dugger,Pittsburgh Steelers,Base,,false
212,Garrett Bradbury,New England Patriots,Base,,false
213,Jahlani Tavai,New England Patriots,Base,,false
214,Khyiris Tonga,New England Patriots,Base,,false
215,Alvin Kamara,New Orleans Saints,Base,,false
216,Chris Olave,New Orleans Saints,Base,,false
217,Brandin Cooks,Buffalo Bills,Base,,false
218,Rashid Shaheed,Seattle Seahawks,Base,,false
219,Taliese Fuaga,New Orleans Saints,Base,,false
220,Chase Young,New Orleans Saints,Base,,false
221,Cameron Jordan,New Orleans Saints,Base,,false
222,Taysom Hill,New Orleans Saints,Base,,false
223,Erik McCoy,New Orleans Saints,Base,,false
224,Kool-Aid McKinstry,New Orleans Saints,Base,,false
225,Malik Nabers,New York Giants,Base,,false
226,Darius Slayton,New York Giants,Base,,false
227,Wan'Dale Robinson,New York Giants,Base,,false
228,Tyrone Tracy Jr.,New York Giants,Base,,false
229,Russell Wilson,New York Giants,Base,,false
230,Dexter Lawrence II,New York Giants,Base,,false
231,Tyler Nubin,New York Giants,Base,,false
232,Micah McFadden,New York Giants,Base,,false
233,Theo Johnson,New York Giants,Base,,false
234,Brian Burns,New York Giants,Base,,false
235,Garrett Wilson,New York Jets,Base,,false
236,Allen Lazard,New York Jets,Base,,false
237,Justin Fields,New York Jets,Base,,false
238,Breece Hall,New York Jets,Base,,false
239,Jeremy Ruckert,New York Jets,Base,,false
240,Braelon Allen,New York Jets,Base,,false
241,Will McDonald IV,New York Jets,Base,,false
242,Sauce Gardner,Indianapolis Colts,Base,,false
243,A.J. Brown,Philadelphia Eagles,Base,,false
244,DeVonta Smith,Philadelphia Eagles,Base,,false
245,Jordan Mailata,Philadelphia Eagles,Base,,false
246,Lane Johnson,Philadelphia Eagles,Base,,false
247,Jalen Hurts,Philadelphia Eagles,Base,,false
248,Saquon Barkley,Philadelphia Eagles,Base,,false
249,Jordan Davis,Philadelphia Eagles,Base,,false
250,Jalen Carter,Philadelphia Eagles,Base,,false
251,Reed Blankenship,Philadelphia Eagles,Base,,false
252,Cooper DeJean,Philadelphia Eagles,Base,,false
253,Jaylen Warren,Pittsburgh Steelers,Base,,false
254,DK Metcalf,Pittsburgh Steelers,Base,,false
255,Aaron Rodgers,Pittsburgh Steelers,Base,,false
256,Troy Fautanu,Pittsburgh Steelers,Base,,false
257,Jonnu Smith,Pittsburgh Steelers,Base,,false
258,T.J. Watt,Pittsburgh Steelers,Base,,false
259,Darius Slay,Pittsburgh Steelers,Base,,false
260,Patrick Queen,Pittsburgh Steelers,Base,,false
261,Ricky Pearsall,San Francisco 49ers,Base,,false
262,Brock Purdy,San Francisco 49ers,Base,,false
263,Christian McCaffrey,San Francisco 49ers,Base,,false
264,Nick Bosa,San Francisco 49ers,Base,,false
265,Trent Williams,San Francisco 49ers,Base,,false
266,Brandon Aiyuk,San Francisco 49ers,Base,,false
267,George Kittle,San Francisco 49ers,Base,,false
268,Fred Warner,San Francisco 49ers,Base,,false
269,Deommodore Lenoir,San Francisco 49ers,Base,,false
270,Kyle Juszczyk,San Francisco 49ers,Base,,false
271,Cooper Kupp,Seattle Seahawks,Base,,false
272,Marquez Valdes-Scantling,Seattle Seahawks,Base,,false
273,Olu Oluwatimi,Seattle Seahawks,Base,,false
274,Noah Fant,Cincinnati Bengals,Base,,false
275,Sam Darnold,Seattle Seahawks,Base,,false
276,Kenneth Walker III,Seattle Seahawks,Base,,false
277,Devon Witherspoon,Seattle Seahawks,Base,,false
278,Riq Woolen,Seattle Seahawks,Base,,false
279,Zach Charbonnet,Seattle Seahawks,Base,,false
280,Jason Myers,Seattle Seahawks,Base,,false
281,Baker Mayfield,Tampa Bay Buccaneers,Base,,false
282,Mike Evans,Tampa Bay Buccaneers,Base,,false
283,Chris Godwin,Tampa Bay Buccaneers,Base,,false
284,Cade Otton,Tampa Bay Buccaneers,Base,,false
285,Bucky Irving,Tampa Bay Buccaneers,Base,,false
286,Vita Vea,Tampa Bay Buccaneers,Base,,false
287,Tristan Wirfs,Tampa Bay Buccaneers,Base,,false
288,Chase McLaughlin,Tampa Bay Buccaneers,Base,,false
289,Jeffery Simmons,Tennessee Titans,Base,,false
290,Tony Pollard,Tennessee Titans,Base,,false
291,Calvin Ridley,Tennessee Titans,Base,,false
292,T'Vondre Sweat,Tennessee Titans,Base,,false
293,Noah Brown,Washington Commanders,Base,,false
294,Deebo Samuel,Washington Commanders,Base,,false
295,Jayden Daniels,Washington Commanders,Base,,false
296,Brian Robinson Jr.,San Francisco 49ers,Base,,false
297,Zach Ertz,Washington Commanders,Base,,false
298,Luke McCaffrey,Washington Commanders,Base,,false
299,Bobby Wagner,Washington Commanders,Base,,false
300,Matt Gay,Washington Commanders,Base,,false
301,Shavon Revel Jr.,Dallas Cowboys,Base,,true
302,Mason Graham,Cleveland Browns,Base,,true
303,Shemar Turner,Chicago Bears,Base,,true
304,Josh Simmons,Kansas City Chiefs,Base,,true
305,Gunnar Helm,Tennessee Titans,Base,,true
306,Jaxson Dart,New York Giants,Base,,true
307,Kurtis Rourke,San Francisco 49ers,Base,,true
308,Dylan Sampson,Cleveland Browns,Base,,true
309,Kalel Mullings,Tennessee Titans,Base,,true
310,Phil Mafah,Dallas Cowboys,Base,,true
311,Brashard Smith,Kansas City Chiefs,Base,,true
312,Emeka Egbuka,Tampa Bay Buccaneers,Base,,true
313,Pat Bryant,Denver Broncos,Base,,true
314,Cam Ward,Tennessee Titans,Base,,true
315,Shedeur Sanders,Cleveland Browns,Base,,true
316,Quinn Ewers,Miami Dolphins,Base,,true
317,Dillon Gabriel,Cleveland Browns,Base,,true
318,Riley Leonard,Indianapolis Colts,Base,,true
319,Brady Cook,New York Jets,Base,,true
320,Isaac TeSlaa,Detroit Lions,Base,,true
321,Will Howard,Pittsburgh Steelers,Base,,true
322,Ashton Jeanty,Las Vegas Raiders,Base,,true
323,Kaleb Johnson,Pittsburgh Steelers,Base,,true
324,Omarion Hampton,Los Angeles Chargers,Base,,true
325,Quinshon Judkins,Cleveland Browns,Base,,true
326,Tetairoa McMillan,Carolina Panthers,Base,,true
327,Ollie Gordon II,Miami Dolphins,Base,,true
328,TreVeyon Henderson,New England Patriots,Base,,true
329,Jordan James,San Francisco 49ers,Base,,true
330,RJ Harvey,Denver Broncos,Base,,true
331,Cam Skattebo,New York Giants,Base,,true
332,Travis Hunter,Jacksonville Jaguars,Base,,true
333,Matthew Golden,Green Bay Packers,Base,,true
334,Luther Burden III,Chicago Bears,Base,,true
335,Terrance Ferguson,Los Angeles Rams,Base,,true
336,Elic Ayomanor,Tennessee Titans,Base,,true
337,Jalen Royals,Kansas City Chiefs,Base,,true
338,Tre Harris III,Los Angeles Chargers,Base,,true
339,Harold Fannin Jr.,Cleveland Browns,Base,,true
340,Savion Williams,Green Bay Packers,Base,,true
341,Isaiah Bond,Cleveland Browns,Base,,true
342,Tez Johnson,Tampa Bay Buccaneers,Base,,true
343,Jayden Higgins,Houston Texans,Base,,true
344,Billy Bowman Jr.,Atlanta Falcons,Base,,true
345,Colston Loveland,Chicago Bears,Base,,true
346,Tyler Warren,Indianapolis Colts,Base,,true
347,Malaki Starks,Baltimore Ravens,Base,,true
348,Nick Emmanwori,Seattle Seahawks,Base,,true
349,Will Johnson,Arizona Cardinals,Base,,true
350,Abdul Carter,New York Giants,Base,,true
351,James Pearce Jr.,Atlanta Falcons,Base,,true
352,Mykel Williams,San Francisco 49ers,Base,,true
353,Nic Scourton,Carolina Panthers,Base,,true
354,Jalon Walker,Atlanta Falcons,Base,,true
355,Benjamin Morrison,Tampa Bay Buccaneers,Base,,true
356,JT Tuimoloau,Indianapolis Colts,Base,,true
357,Jack Sawyer,Pittsburgh Steelers,Base,,true
358,Landon Jackson,Buffalo Bills,Base,,true
359,Jahdae Barron,Denver Broncos,Base,,true
360,Deone Walker,Buffalo Bills,Base,,true
361,Derrick Harmon,Pittsburgh Steelers,Base,,true
362,Kenneth Grant,Miami Dolphins,Base,,true
363,Shemar Stewart,Cincinnati Bengals,Base,,true
364,Tyleik Williams,Detroit Lions,Base,,true
365,Walter Nolen,Arizona Cardinals,Base,,true
366,Jihaad Campbell,Philadelphia Eagles,Base,,true
367,Darien Porter,Las Vegas Raiders,Base,,true
368,Denzel Burke,Arizona Cardinals,Base,,true
369,Quincy Riley,New Orleans Saints,Base,,true
370,Sebastian Castro,Pittsburgh Steelers,Base,,true
371,Trey Amos,Washington Commanders,Base,,true
372,Woody Marks,Houston Texans,Base,,true
373,Danny Stutsman,New Orleans Saints,Base,,true
374,Jaylen Reed,Houston Texans,Base,,true
375,Kevin Winston Jr.,Tennessee Titans,Base,,true
376,Mike Green,Baltimore Ravens,Base,,true
377,Princely Umanmielen,Carolina Panthers,Base,,true
378,Kelvin Banks Jr.,New Orleans Saints,Base,,true
379,Will Campbell,New England Patriots,Base,,true
380,Jonah Savaiinaea,Miami Dolphins,Base,,true
381,Tyler Booker,Dallas Cowboys,Base,,true
382,Kyle Monangai,Chicago Bears,Base,,true
383,Tate Ratledge,Detroit Lions,Base,,true
384,LeQuint Allen Jr.,Jacksonville Jaguars,Base,,true
385,Dont'e Thornton Jr.,Las Vegas Raiders,Base,,true
386,Emery Jones Jr.,Baltimore Ravens,Base,,true
387,Jacory Croskey-Merritt,Washington Commanders,Base,,true
388,Jack Bech,Las Vegas Raiders,Base,,true
389,Bhayshul Tuten,Jacksonville Jaguars,Base,,true
390,DJ Giddens,Indianapolis Colts,Base,,true
391,Devin Neal,New Orleans Saints,Base,,true
392,Donovan Edwards,New York Jets,Base,,true
393,Xavier Watts,Atlanta Falcons,Base,,true
394,Kaden Prather,Buffalo Bills,Base,,true
395,Tai Felton,Minnesota Vikings,Base,,true
396,Elijah Arroyo,Seattle Seahawks,Base,,true
397,Jackson Hawes,Buffalo Bills,Base,,true
398,Tyler Shough,New Orleans Saints,Base,,true
399,Seth Henigan,Jacksonville Jaguars,Base,,true
400,Mason Taylor,New York Jets,Base,,true
1,Marvin Harrison Jr.,Arizona Cardinals,Base,Team Camo Variation,false
2,Michael Wilson,Arizona Cardinals,Base,Team Camo Variation,false
3,Paris Johnson Jr.,Arizona Cardinals,Base,Team Camo Variation,false
4,Trey McBride,Arizona Cardinals,Base,Team Camo Variation,false
5,Kyler Murray,Arizona Cardinals,Base,Team Camo Variation,false
6,Garrett Williams,Arizona Cardinals,Base,Team Camo Variation,false
7,Trey Benson,Arizona Cardinals,Base,Team Camo Variation,false
8,Budda Baker,Arizona Cardinals,Base,Team Camo Variation,false
9,Darius Robinson,Arizona Cardinals,Base,Team Camo Variation,false
10,Josh Sweat,Arizona Cardinals,Base,Team Camo Variation,false
11,Darnell Mooney,Atlanta Falcons,Base,Team Camo Variation,false
12,Drake London,Atlanta Falcons,Base,Team Camo Variation,false
13,Kirk Cousins,Atlanta Falcons,Base,Team Camo Variation,false
14,Kyle Pitts,Atlanta Falcons,Base,Team Camo Variation,false
15,Michael Penix Jr.,Atlanta Falcons,Base,Team Camo Variation,false
16,Bijan Robinson,Atlanta Falcons,Base,Team Camo Variation,false
17,Tyler Allgeier,Atlanta Falcons,Base,Team Camo Variation,false
18,Leonard Floyd,Atlanta Falcons,Base,Team Camo Variation,false
19,A.J. Terrell,Atlanta Falcons,Base,Team Camo Variation,false
20,Deandre Hopkins,Baltimore Ravens,Base,Team Camo Variation,false
21,Rashod Bateman,Baltimore Ravens,Base,Team Camo Variation,false
22,Zay Flowers,Baltimore Ravens,Base,Team Camo Variation,false
23,Mark Andrews,Baltimore Ravens,Base,Team Camo Variation,false
24,Lamar Jackson,Baltimore Ravens,Base,Team Camo Variation,false
25,Derrick Henry,Baltimore Ravens,Base,Team Camo Variation,false
26,Devontez Walker,Baltimore Ravens,Base,Team Camo Variation,false
27,Roquan Smith,Baltimore Ravens,Base,Team Camo Variation,false
28,Nate Wiggins,Baltimore Ravens,Base,Team Camo Variation,false
29,Kyle Hamilton,Baltimore Ravens,Base,Team Camo Variation,false
30,Keon Coleman,Buffalo Bills,Base,Team Camo Variation,false
31,Joshua Palmer,Buffalo Bills,Base,Team Camo Variation,false
32,Khalil Shakir,Buffalo Bills,Base,Team Camo Variation,false
33,Dawson Knox,Buffalo Bills,Base,Team Camo Variation,false
34,Josh Allen,Buffalo Bills,Base,Team Camo Variation,false
35,James Cook,Buffalo Bills,Base,Team Camo Variation,false
36,Joey Bosa,Buffalo Bills,Base,Team Camo Variation,false
37,Dalton Kincaid,Buffalo Bills,Base,Team Camo Variation,false
38,Xavier Legette,Carolina Panthers,Base,Team Camo Variation,false
39,Jalen Coker,Carolina Panthers,Base,Team Camo Variation,false
40,Bryce Young,Carolina Panthers,Base,Team Camo Variation,false
41,Jaycee Horn,Carolina Panthers,Base,Team Camo Variation,false
42,Chuba Hubbard,Carolina Panthers,Base,Team Camo Variation,false
43,Rico Dowdle,Carolina Panthers,Base,Team Camo Variation,false
44,Tommy Tremble,Carolina Panthers,Base,Team Camo Variation,false
45,Ja'Tavion Sanders,Carolina Panthers,Base,Team Camo Variation,false
46,Bobby Brown III,Carolina Panthers,Base,Team Camo Variation,false
47,Derrick Brown,Carolina Panthers,Base,Team Camo Variation,false
48,DJ Moore,Chicago Bears,Base,Team Camo Variation,false
49,Rome Odunze,Chicago Bears,Base,Team Camo Variation,false
50,Joe Thuney,Chicago Bears,Base,Team Camo Variation,false
51,Cole Kmet,Chicago Bears,Base,Team Camo Variation,false
52,Caleb Williams,Chicago Bears,Base,Team Camo Variation,false
53,D'Andre Swift,Chicago Bears,Base,Team Camo Variation,false
54,Tyson Bagent,Chicago Bears,Base,Team Camo Variation,false
55,Roschon Johnson,Chicago Bears,Base,Team Camo Variation,false
56,Montez Sweat,Chicago Bears,Base,Team Camo Variation,false
57,Jaylon Johnson,Chicago Bears,Base,Team Camo Variation,false
58,Ja'Marr Chase,Cincinnati Bengals,Base,Team Camo Variation,false
59,Tee Higgins,Cincinnati Bengals,Base,Team Camo Variation,false
60,Andrei Iosivas,Cincinnati Bengals,Base,Team Camo Variation,false
61,Joe Burrow,Cincinnati Bengals,Base,Team Camo Variation,false
62,Chase Brown,Cincinnati Bengals,Base,Team Camo Variation,false
63,Jake Browning,Cincinnati Bengals,Base,Team Camo Variation,false
64,Evan McPherson,Cincinnati Bengals,Base,Team Camo Variation,false
65,Trey Hendrickson,Cincinnati Bengals,Base,Team Camo Variation,false
66,Grant Delpit,Cleveland Browns,Base,Team Camo Variation,false
67,Cedric Tillman,Cleveland Browns,Base,Team Camo Variation,false
68,Jerry Jeudy,Cleveland Browns,Base,Team Camo Variation,false
69,David Njoku,Cleveland Browns,Base,Team Camo Variation,false
70,Myles Garrett,Cleveland Browns,Base,Team Camo Variation,false
71,Jerome Ford,Cleveland Browns,Base,Team Camo Variation,false
72,Quinnen Williams,Dallas Cowboys,Base,Team Camo Variation,false
73,Kenny Clark,Dallas Cowboys,Base,Team Camo Variation,false
74,Denzel Ward,Cleveland Browns,Base,Team Camo Variation,false
75,Jake Ferguson,Dallas Cowboys,Base,Team Camo Variation,false
76,CeeDee Lamb,Dallas Cowboys,Base,Team Camo Variation,false
77,Micah Parsons,Green Bay Packers,Base,Team Camo Variation,false
78,DeMarvion Overshown,Dallas Cowboys,Base,Team Camo Variation,false
79,Dak Prescott,Dallas Cowboys,Base,Team Camo Variation,false
80,George Pickens,Dallas Cowboys,Base,Team Camo Variation,false
81,Brandon Aubrey,Dallas Cowboys,Base,Team Camo Variation,false
82,DaRon Bland,Dallas Cowboys,Base,Team Camo Variation,false
83,Trevon Diggs,Dallas Cowboys,Base,Team Camo Variation,false
84,KaVontae Turpin,Dallas Cowboys,Base,Team Camo Variation,false
85,Joe Milton III,Dallas Cowboys,Base,Team Camo Variation,false
86,Courtland Sutton,Denver Broncos,Base,Team Camo Variation,false
87,Marvin Mims Jr.,Denver Broncos,Base,Team Camo Variation,false
88,Bo Nix,Denver Broncos,Base,Team Camo Variation,false
89,Jarrett Stidham,Denver Broncos,Base,Team Camo Variation,false
90,Jaleel McLaughlin,Denver Broncos,Base,Team Camo Variation,false
91,Troy Franklin,Denver Broncos,Base,Team Camo Variation,false
92,Evan Engram,Denver Broncos,Base,Team Camo Variation,false
93,Pat Surtain II,Denver Broncos,Base,Team Camo Variation,false
94,Talanoa Hufanga,Denver Broncos,Base,Team Camo Variation,false
95,Zach Allen,Denver Broncos,Base,Team Camo Variation,false
96,Tim Patrick,Jacksonville Jaguars,Base,Team Camo Variation,false
97,Jameson Williams,Detroit Lions,Base,Team Camo Variation,false
98,Amon-Ra St. Brown,Detroit Lions,Base,Team Camo Variation,false
99,Penei Sewell,Detroit Lions,Base,Team Camo Variation,false
100,Sam LaPorta,Detroit Lions,Base,Team Camo Variation,false
