card_number,player_name,team
BGP-3,Nick Kurtz,Athletics
BGP-4,Ronald Acuña Jr.,Atlanta Braves
BGP-5,Samuel Basallo,Baltimore Orioles
BGP-6,Coby Mayo,Baltimore Orioles
BGP-7,Gunnar Henderson,Baltimore Orioles
BGP-8,David Ortiz,Boston Red Sox
BGP-9,Roman Anthony,Boston Red Sox
BGP-10,Rafael Devers,Boston Red Sox
BGP-11,Cam Smith,Houston Astros
BGP-12,Shota Imanaga,Chicago Cubs
BGP-13,Sammy Sosa,Chicago Cubs
BGP-14,Chase Burns,Cincinnati Reds
BGP-15,Colson Montgomery,Chicago White Sox
BGP-16,Elly De La Cruz,Cincinnati Reds
BGP-17,Kristian Campbell,Boston Red Sox
BGP-18,Travis Bazzana,Cleveland Guardians
BGP-19,Charlie Condon,Colorado Rockies
BGP-20,Jackson Jobe,Detroit Tigers
BGP-21,Matt Shaw,Chicago Cubs
BGP-22,Jac Caglianone,Kansas City Royals
BGP-23,Bobby Witt Jr.,Kansas City Royals
BGP-24,Shohei Ohtani,Los Angeles Dodgers
BGP-25,Jackson Chourio,Milwaukee Brewers
BGP-26,Walker Jenkins,Minnesota Twins
BGP-27,Luisangel Acuña,New York Mets
BGP-28,Juan Soto,New York Mets
BGP-29,Francisco Lindor,New York Mets
BGP-30,Aaron Judge,New York Yankees
BGP-31,Derek Jeter,New York Yankees
BGP-32,Bryce Harper,Philadelphia Phillies
BGP-33,Andrew Painter,Philadelphia Phillies
BGP-34,Konnor Griffin,Pittsburgh Pirates
BGP-35,Paul Skenes,Pittsburgh Pirates
BGP-36,Leo De Vries,San Diego Padres
BGP-37,Fernando Tatis Jr.,San Diego Padres
BGP-38,Jackson Merrill,San Diego Padres
BGP-39,Miguel Cabrera,Detroit Tigers
BGP-40,Bryce Eldridge,San Francisco Giants
BGP-41,Ichiro,Seattle Mariners
BGP-42,Ken Griffey Jr.,Seattle Mariners
BGP-43,Albert Pujols,St. Louis Cardinals
BGP-44,JJ Wetherholt,St. Louis Cardinals
BGP-45,Carson Williams,Tampa Bay Rays
BGP-46,Corey Seager,Texas Rangers
BGP-47,Vladimir Guerrero Jr.,Toronto Blue Jays
BGP-48,Dylan Crews,Washington Nationals
BGP-49,James Wood,Washington Nationals
BGP-50,Roki Sasaki,Los Angeles Dodgers
BWS-1,Roman Anthony,Boston Red Sox
BWS-2,Bubba Chandler,Pittsburgh Pirates
BWS-3,Slade Caldwell,Arizona Diamondbacks
BWS-4,Braden Montgomery,Chicago White Sox
BWS-5,Josuar Gonzalez,San Francisco Giants
BWS-6,Zyhir Hope,Los Angeles Dodgers
BWS-7,Elian Peña,New York Mets
BWS-8,Konnor Griffin,Pittsburgh Pirates
BWS-9,Bryce Rainer,Detroit Tigers
BWS-10,Andrew Salas,Miami Marlins
BWS-11,Matt Shaw,Chicago Cubs
BWS-12,Drake Baldwin,Atlanta Braves
BWS-13,Cam Smith,Houston Astros
BWS-14,Marcelo Mayer,Boston Red Sox
BWS-15,Kristian Campbell,Boston Red Sox
BCP-254,Tony Pérez,Cincinnati Reds
IT-1,Sebastian Walcott,Texas Rangers
IT-2,JJ Wetherholt,St. Louis Cardinals
IT-3,Kristian Campbell,Boston Red Sox
IT-4,Jac Caglianone,Kansas City Royals
IT-5,Roki Sasaki,Los Angeles Dodgers
IT-6,Christian Moore,Angels
IT-7,Charlie Condon,Colorado Rockies
IT-8,Konnor Griffin,Pittsburgh Pirates
IT-9,Cam Smith,Houston Astros
IT-10,Marcelo Mayer,Boston Red Sox
IT-11,Matt Shaw,Chicago Cubs
IT-12,Max Clark,Detroit Tigers
IT-13,Dylan Crews,Washington Nationals
IT-14,Jesus Made,Milwaukee Brewers
IT-15,James Wood,Washington Nationals
IT-16,Nick Kurtz,Athletics
IT-17,Leo De Vries,San Diego Padres
IT-18,Luisangel Acuña,New York Mets
IT-19,Roman Anthony,Boston Red Sox
IT-20,Travis Bazzana,Cleveland Guardians
MR-1,Bryce Eldridge,San Francisco Giants
MR-2,Mike Trout,Angels
MR-3,Jesus Made,Milwaukee Brewers
MR-4,Aaron Judge,New York Yankees
MR-5,James Wood,Washington Nationals
MR-6,Walker Jenkins,Minnesota Twins
MR-7,Nick Kurtz,Athletics
MR-8,Charlie Condon,Colorado Rockies
MR-9,Matt Shaw,Chicago Cubs
MR-10,Dylan Crews,Washington Nationals
MR-11,Bobby Witt Jr.,Kansas City Royals
MR-12,Shohei Ohtani,Los Angeles Dodgers
MR-13,Rafael Devers,San Francisco Giants
MR-14,Bryce Harper,Philadelphia Phillies
MR-15,Juan Soto,New York Mets
MM-1,Arjun Nimmala,Toronto Blue Jays
MM-2,Kristian Campbell,Boston Red Sox
MM-3,Christian Moore,Angels
MM-4,James Wood,Washington Nationals
MM-5,Adael Amador,Colorado Rockies
MM-6,Hyeseong Kim,Los Angeles Dodgers
MM-7,Jacob Wilson,Athletics
MM-8,Leo De Vries,San Diego Padres
MM-9,Cooper Pratt,Milwaukee Brewers
MM-10,Zac Veen,Colorado Rockies
MM-11,Charlie Condon,Colorado Rockies
MM-12,Samuel Basallo,Baltimore Orioles
MM-13,Roman Anthony,Boston Red Sox
MM-14,Franklin Arias,Boston Red Sox
MM-15,Bryce Eldridge,San Francisco Giants
MM-16,Jesus Made,Milwaukee Brewers
MM-17,Andrew Salas,Miami Marlins
MM-18,Max Clark,Detroit Tigers
MM-19,Drake Baldwin,Atlanta Braves
MM-20,George Lombard Jr.,New York Yankees
MM-21,Kevin Alcántara,Chicago Cubs
MM-22,Cam Smith,Houston Astros
MM-23,Zyhir Hope,Los Angeles Dodgers
MM-24,Jac Caglianone,Kansas City Royals
MM-25,Nick Kurtz,Athletics
MV-1,Roki Sasaki,Los Angeles Dodgers
MV-2,Kyle Teel,Chicago White Sox
MV-3,Matt Shaw,Chicago Cubs
MV-4,Walker Jenkins,Minnesota Twins
MV-5,Carson Williams,Tampa Bay Rays
MV-6,JJ Wetherholt,St. Louis Cardinals
MV-7,Kristian Campbell,Boston Red Sox
MV-8,Roman Anthony,Boston Red Sox
MV-9,Dylan Crews,Washington Nationals
MV-10,Quinn Mathews,St. Louis Cardinals
MV-11,Nick Kurtz,Athletics
MV-12,Travis Bazzana,Cleveland Guardians
MV-13,Coby Mayo,Baltimore Orioles
MV-14,Dalton Rushing,Los Angeles Dodgers
MV-15,Charlie Condon,Colorado Rockies
AD-1,José Ramírez,Cleveland Guardians
AD-2,Marcelo Mayer,Boston Red Sox
AD-3,Jac Caglianone,Kansas City Royals
AD-4,James Wood,Washington Nationals
AD-5,Dylan Crews,Washington Nationals
AD-6,Juan Soto,New York Mets
AD-7,Fernando Tatis Jr.,San Diego Padres
AD-8,Kristian Campbell,Boston Red Sox
AD-9,Gunnar Henderson,Baltimore Orioles
AD-10,Bryce Eldridge,San Francisco Giants
AD-11,Wyatt Langford,Texas Rangers
AD-12,Travis Bazzana,Cleveland Guardians
AD-13,Walker Jenkins,Minnesota Twins
AD-14,Ronald Acuña Jr.,Atlanta Braves
AD-15,Mookie Betts,Los Angeles Dodgers
AD-16,Charlie Condon,Colorado Rockies
AD-17,Shohei Ohtani,Los Angeles Dodgers
AD-18,Cam Smith,Houston Astros
AD-19,Christian Moore,Angels
AD-20,Max Clark,Detroit Tigers
AD-21,Carson Williams,Tampa Bay Rays
AD-22,Vladimir Guerrero Jr.,Toronto Blue Jays
AD-23,Nick Kurtz,Athletics
AD-24,JJ Wetherholt,St. Louis Cardinals
AD-25,Bobby Witt Jr.,Kansas City Royals
CPA-AC,Angel Cepeda,Chicago Cubs
CPA-AD,Alessander De La Cruz,Colorado Rockies
CPA-AF,Alirio Ferrebus,Philadelphia Phillies
CPA-AG,Asbel Gonzalez,Kansas City Royals
CPA-AJ,Ayden Johnson,Athletics
CPA-AM,Anyelo Marquez,Angels
CPA-ARO,Alejandro Rosario,Texas Rangers
CPA-AS,Andrew Salas,Miami Marlins
CPA-BB,Bryce Boettcher,Houston Astros
CPA-BBA,Brett Bateman,Chicago Cubs
CPA-BC,Brayan Cortesia,Washington Nationals
CPA-BD,Bo Davidson,San Francisco Giants
CPA-BP,Braylon Payne,Milwaukee Brewers
CPA-BW,Blake Wolters,Kansas City Royals
CPA-CAC,Cristopher Acosta,Milwaukee Brewers
CPA-CAR,Cristian Arguelles,Colorado Rockies
CPA-CCO,Corey Cousin,Kansas City Royals
CPA-CHA,Chase Hampton,New York Yankees
CPA-CK,Ching-Hsien Ko,Los Angeles Dodgers
CPA-CL,Carlos Lagrange,New York Yankees
CPA-CPO,Caden Powell,Houston Astros
CPA-CR,Cris Rodriguez,Detroit Tigers
CPA-CS,Cade Smith,New York Yankees
CPA-CSC,Cam Schlittler,New York Yankees
CPA-CSU,Christopher Suero,New York Mets
CPA-CT,Carlos Tavares,Washington Nationals
CPA-DF,Devin Fitz-Gerald,Texas Rangers
CPA-DG,Darison Garcia,Kansas City Royals
CPA-DL,DJ Layton,Baltimore Orioles
CPA-DM,Djean Macares,San Francisco Giants
CPA-DOR,David Ortiz Jr.,Texas Rangers
CPA-DSA,David Sandlin,Boston Red Sox
CPA-DT,Diego Tornes,Atlanta Braves
CPA-ED,Elian De La Cruz,Arizona Diamondbacks
CPA-EG,Elvin Garcia,Baltimore Orioles
CPA-EMO,Emil Morales,Los Angeles Dodgers
CPA-EP,Elian Peña,New York Mets
CPA-EPE,Ethan Pecko,Houston Astros
CPA-ER,Elorky Rodriguez,Texas Rangers
CPA-ET,Enry Torres,Cincinnati Reds
CPA-GD,Gabriel Davalillo,Angels
CPA-HB,Heins Brito,Cleveland Guardians
CPA-HBA,Henry Baez,San Diego Padres
CPA-HC,Haritzon Castillo,Minnesota Twins
CPA-HL,Hiverson López,Cleveland Guardians
CPA-HR,Harold Rivas,Boston Red Sox
CPA-HS,Hagen Smith,Chicago White Sox
CPA-JA,Jose Anderson,Milwaukee Brewers
CPA-JB,Justice Bigbie,Detroit Tigers
CPA-JC,Juan Cabada,Chicago Cubs
CPA-JCH,Jakob Christian,San Francisco Giants
CPA-JD,Josuar Gonzalez,San Francisco Giants
CPA-JDL,Jhoan De La Cruz,San Diego Padres
CPA-JDLS,Johan De Los Santos,Pittsburgh Pirates
CPA-JG,John Gil,Atlanta Braves
CPA-JOS,Jordan Sanchez,Baltimore Orioles
CPA-JS,Jhonny Severino,Pittsburgh Pirates
CPA-JT,Juan Tomas,Chicago Cubs
CPA-JUC,Juneiker Caceres,Cleveland Guardians
CPA-KA,Kevin Alvarez,Houston Astros
CPA-KD,Kevin Defrank,Miami Marlins
CPA-KF,Kenny Fenelon,Milwaukee Brewers
CPA-KFO,Kale Fountain,San Diego Padres
CPA-KK,Kyle Karros,Colorado Rockies
CPA-KR,Kai Roberts,San Diego Padres
CPA-LA,Liberts Aponte,Cincinnati Reds
CPA-LDI,Luke Dickerson,Washington Nationals
CPA-MC,Maykel Coret,Tampa Bay Rays
CPA-MCE,Mani Cedeno,New York Yankees
CPA-MD,Marco Dinges,Milwaukee Brewers
CPA-ME,Matthew Etzel,Tampa Bay Rays
CPA-MG,Mavis Graves,Philadelphia Phillies
CPA-MM,Moises Marchán,Kansas City Royals
CPA-MU,Miguel Ullola,Houston Astros
CPA-NCH,Nathan Church,St. Louis Cardinals
CPA-NG,Nate George,Baltimore Orioles
CPA-NI,Nieves Izaguirre,Philadelphia Phillies
CPA-NL,Nick Lorusso,New York Mets
CPA-NM,Nestor Miranda,Detroit Tigers
CPA-NY,Natanael Yuten,Boston Red Sox
CPA-PC,Pedro Catuy,Arizona Diamondbacks
CPA-RA,Ramcell Medina,Kansas City Royals
CPA-RCR,Ronny Cruz,Chicago Cubs
CPA-RH,Robert Hipwell,San Francisco Giants
CPA-RM,Raymer Medina,Tampa Bay Rays
CPA-RR,Rainiel Rodriguez,St. Louis Cardinals
CPA-RSC,RJ Schreck,Toronto Blue Jays
CPA-SD,Sadbiel Delzine,Boston Red Sox
CPA-SG,Spencer Giesting,Arizona Diamondbacks
CPA-SH,Sammy Hernandez,St. Louis Cardinals
CPA-SL,Santiago Leon,Minnesota Twins
CPA-SM,Shotaro Morii,Athletics
CPA-SM,Sabier Marte,New York Yankees
CPA-SMA,Stiven Marinez,New York Yankees
CPA-THA,Trevor Harrison,Tampa Bay Rays
CPA-TS,Teilon Serrano,Minnesota Twins
CPA-TWH,Tommy White,Athletics
CPA-WC,Warren Calcaño,Kansas City Royals
CPA-WD,Wilfri De La Cruz,Chicago Cubs
CPA-WS,Warel Solano,Tampa Bay Rays
CPA-WT,Will Taylor,Pittsburgh Pirates
CPA-YB,Yorger Bautista,Seattle Mariners
CPA-YL,Yu-Min Lin,Arizona Diamondbacks
CPA-YM,Yahil Melendez,Chicago Cubs
CPA-YP,Yairo Padilla,St. Louis Cardinals
CPA-YU,Yulian Barreto,San Francisco Giants
CPA-ZC,Zach Cole,Houston Astros
CPA-ZD,Zander Darby,San Francisco Giants
CRA-AM,Angel Martínez,Cleveland Guardians
CRA-BL,Brooks Lee,Minnesota Twins
CRA-BR,Ben Rice,New York Yankees
CRA-CD,Chase Dollander,Colorado Rockies
CRA-CH,Cade Horton,Chicago Cubs
CRA-CM,Coby Mayo,Baltimore Orioles
CRA-CN,Connor Norby,Miami Marlins
CRA-CS,Chandler Simpson,Tampa Bay Rays
CRA-CSM,Cam Smith,Houston Astros
CRA-DB,Drake Baldwin,Atlanta Braves
CRA-DC,Dylan Crews,Washington Nationals
CRA-DD,Dillon Dingler,Detroit Tigers
CRA-DR,Dalton Rushing,Los Angeles Dodgers
CRA-DT,Drew Thorpe,Chicago White Sox
CRA-EQ,Edgar Quero,Chicago White Sox
CRA-HK,Hyeseong Kim,Los Angeles Dodgers
CRA-HW,Hurston Waldrep,Atlanta Braves
CRA-JN,Jhonkensy Noel,Cleveland Guardians
CRA-JWI,Jacob Wilson,Athletics
CRA-JWO,James Wood,Washington Nationals
CRA-KC,Kristian Campbell,Boston Red Sox
CRA-MB,Moises Ballesteros,Chicago Cubs
CRA-MM,Marcelo Mayer,Boston Red Sox
CRA-MS,Matt Shaw,Chicago Cubs
CRA-NK,Nick Kurtz,Athletics
CRA-RH,Rece Hinds,Cincinnati Reds
CRA-RR,River Ryan,Los Angeles Dodgers
CRA-RS,Roki Sasaki,Los Angeles Dodgers
CRA-SA,Sam Aldegheri,Angels
CRA-TL,Tyler Locklear,Seattle Mariners
CRA-TOS,Thomas Saggese,St. Louis Cardinals
CRA-TS,Trey Sweeney,Detroit Tigers
CRA-WW,Will Wagner,Toronto Blue Jays
CRA-ZD,Zach Dezenzo,Houston Astros
BRA-TP,Tony Pérez,Cincinnati Reds
PCS-AS,Andrew Salas,Miami Marlins
PCS-CC,Charlie Condon,Colorado Rockies
PCS-DT,Diego Tornes,Atlanta Braves
PCS-EP,Elian Peña,New York Mets
PCS-JC,Juan Cabada,Chicago Cubs
PCS-JD,Josuar Gonzalez,San Francisco Giants
PCS-JM,Jesus Made,Milwaukee Brewers
PCS-JS,Juan Soto,New York Mets
PCS-JW,JJ Wetherholt,St. Louis Cardinals
PCS-KA,Kevin Alvarez,Houston Astros
PCS-KM,Kevin McGonigle,Detroit Tigers
PCS-KG,Konnor Griffin,Pittsburgh Pirates
PCS-KT,Kyle Teel,Chicago White Sox
PCS-LD,Leo De Vries,San Diego Padres
PCS-MCE,Mani Cedeno,New York Yankees
PCS-MCL,Max Clark,Detroit Tigers
PCS-MT,Mike Trout,Angels
PCS-PS,Paul Skenes,Pittsburgh Pirates
PCS-RS,Roki Sasaki,Los Angeles Dodgers
PCS-SM,Shotaro Morii,Athletics
PCS-SMA,Stiven Marinez,New York Yankees
PCS-SO,Shohei Ohtani,Los Angeles Dodgers
PCS-YB,Yorger Bautista,Seattle Mariners
PCS-YP,Yairo Padilla,St. Louis Cardinals
MVA-CC,Charlie Condon,Colorado Rockies
MVA-CM,Coby Mayo,Baltimore Orioles
MVA-CW,Carson Williams,Tampa Bay Rays
MVA-DR,Dalton Rushing,Los Angeles Dodgers
MVA-JW,JJ Wetherholt,St. Louis Cardinals
MVA-KT,Kyle Teel,Chicago White Sox
MVA-MS,Matt Shaw,Chicago Cubs
MVA-NK,Nick Kurtz,Athletics
MVA-RA,Roman Anthony,Boston Red Sox
MVA-RS,Roki Sasaki,Los Angeles Dodgers
MVA-TB,Travis Bazzana,Cleveland Guardians
MVA-WJ,Walker Jenkins,Minnesota Twins
MMA-AA,Adael Amador,Colorado Rockies
MMA-AN,Arjun Nimmala,Toronto Blue Jays
MMA-BE,Bryce Eldridge,San Francisco Giants
MMA-CC,Charlie Condon,Colorado Rockies
MMA-CM,Christian Moore,Angels
MMA-CP,Cooper Pratt,Milwaukee Brewers
MMA-CS,Cam Smith,Houston Astros
MMA-DB,Drake Baldwin,Atlanta Braves
MMA-FA,Franklin Arias,Boston Red Sox
MMA-GL,George Lombard Jr.,New York Yankees
MMA-HK,Hyeseong Kim,Los Angeles Dodgers
MMA-JC,Jac Caglianone,Kansas City Royals
MMA-JM,Jesus Made,Milwaukee Brewers
MMA-JW,James Wood,Washington Nationals
MMA-JWI,Jacob Wilson,Athletics
MMA-KA,Kevin Alcántara,Chicago Cubs
MMA-LD,Leo De Vries,San Diego Padres
MMA-NK,Nick Kurtz,Athletics
MMA-RA,Roman Anthony,Boston Red Sox
MMA-ZH,Zyhir Hope,Los Angeles Dodgers
MMA-ZV,Zac Veen,Colorado Rockies
AAV-BE,Bryce Eldridge,San Francisco Giants
AAV-BW,Bobby Witt Jr.,Kansas City Royals
AAV-CC,Charlie Condon,Colorado Rockies
AAV-CM,Coby Mayo,Baltimore Orioles
AAV-CMO,Christian Moore,Angels
AAV-CS,Cam Smith,Houston Astros
AAV-CW,Carson Williams,Tampa Bay Rays
AAV-FT,Fernando Tatis Jr.,San Diego Padres
